#tail	head
VAMP7	TRIP10
RAF1	BAG2
RAF1	TRIM25
RAF1	PPP1CC
RAF1	PPP2R1B
MAGEA10	FOXJ2
ERCC5	TCEA1
ERCC5	POLD3
ERCC5	INS
ERCC5	WDR77
AKR1C3	KAT2B
AKR1C3	HBEGF
AKR1C3	SRD5A3
AKR1C3	AHR
AKR1C3	CDKN1A
AKR1C3	CYP2C19
AKR1C3	IGFBP2
AKR1C3	GSTA3
AKR1C3	ACTA2
AKR1C3	CGB3
CENPJ	DYNC1H1
CENPJ	TUBGCP5
CENPJ	PAFAH1B1
CENPJ	CENPH
DTX2	HIST1H4K
VSX1	CDH10
VSX1	RORB
VSX1	UBXN10
VSX1	PMEPA1
ZBTB14	RPS25
ZBTB14	SDCBP
ZBTB14	EIF1AD
PPP2R1B	CUL1
PPP2R1B	DYNC1H1
PPP2R1B	CKAP5
PPP2R1B	TAOK1
PPP2R1B	TRIM25
PPP2R1B	PAFAH1B1
PPP2R1B	INS
PPP2R1B	MDM2
PPP2R1B	PSME2
PPP2R1B	CDC20
SDCBP	PIP5K1B
SDCBP	KLHL2
SDCBP	KRTAP10-3
SDCBP	MAD2L1
SRD5A3	GRHPR
SRD5A3	CYP2C19
SSR1	NACA
SSR1	DNMBP
SSR1	EEF1G
SSR1	SORBS3
SSR1	HNRNPL
SSR1	WDR77
SSR1	OAS1
INS	POLD3
INS	CGB3
INS	ACOT7
INS	BAG2
INS	PIP5K1B
INS	TGFB1
INS	ATG7
INS	CDC20
INS	OAS1
INS	DNA2
INS	MDM2
INS	SFI1
INS	KLHL2
INS	HBEGF
INS	CASP3
INS	UBR1
INS	ZNF587
INS	CDKN1A
INS	LAMA5
INS	CAV3
INS	TAOK1
INS	CEBPA
INS	PPP1CC
INS	KRT18
DYNC1H1	RAB8A
DYNC1H1	MAD2L1
DYNC1H1	DYNLL1
DYNC1H1	PPP1CC
DYNC1H1	CENPH
DYNC1H1	AURKA
COL3A1	FYN
MLPH	AHR
AHR	ACVRL1
AHR	SLCO2B1
AHR	CGB3
AHR	CASP3
AHR	SPRED1
AHR	HNRNPL
AHR	GSTA3
AHR	DYNLL1
AHR	CYP2C19
AHR	CEBPA
AHR	ACTA2
KLHL2	UBE2B
KLHL2	WNK2
TNNI1	ZEB1
TNNI1	EIF1AD
TNNI1	TRPM1
ACVRL1	PSMD12
KAT2B	PPP1CC
KAT2B	TGFB1
KAT2B	ACTA2
KAT2B	MDM2
KAT2B	CYP2C19
KAT2B	HBEGF
TUBGCP5	CKAP5
TUBGCP5	NEK4
TUBGCP5	SFI1
HNRNPL	SMN1
HNRNPL	CUL1
HNRNPL	TRIM25
HNRNPL	ZNF587
HNRNPL	NAPA
HNRNPL	NEK4
HNRNPL	ATG7
WT1	MDM2
WT1	TAOK1
ACSM3	ACOT7
SFI1	PAFAH1B1
DNMBP	SMN1
ZNRF2	UBE2B
ZNRF2	AK2
SORBS3	CHRNB3
SORBS3	NAPA
SORBS3	ACTA2
SORBS3	TRPM1
SORBS3	SMN1
SLC39A7	MDM2
SLC39A7	CASP3
SLC39A7	MAD2L1
KRT18	TGFB1
KRT18	CASP3
KRT18	DYNLL1
TRIP10	HBEGF
TRIP10	PIP5K1B
KRTAP10-3	SERF2
AK2	CUL1
AK2	UBR1
AK2	TRIM25
ACTA2	CHRNB3
ACTA2	NEK4
ACTA2	TRPM1
ACTA2	RAB8A
ACTA2	FYN
ACTA2	CUL1
ACTA2	ATP2B2
CEBPA	SMN1
CEBPA	SPRED1
CEBPA	TRPM1
