#tail	head
MMP12	NID1
CACNA2D2	GNB4
CACNA2D2	ATP2A2
CACNA2D2	F13A1
CACNA2D2	PTH
CD79A	VEGFA
CD79A	NTF4
CD79A	GNB4
CD79A	FGF3
CD79A	PIP5K1B
CD79A	CALM3
CD79A	FGF22
KPNA5	SLC25A3
KPNA5	ATP2A2
CDY2B	CALM3
NGFR	NTF3
NGFR	NTF4
RGP1	EIF3B
RGP1	SYS1
IL3RA	SGK2
IL3RA	SYS1
DRD2	GNB4
DRD2	ATP6V0C
DRD2	CALM1
MTMR9	PIP5K1B
NTF3	SMO
NTF3	IGHV3-7
NTF3	FZD8
NTF3	FCGR1A
NTF3	FGF22
NTF3	FGF3
NTF3	PIP5K1B
CALM1	TRPV6
CALM1	VEGFA
CALM1	F13A1
CALM1	CALM3
CALM1	PTH
NTF4	FGF22
NTF4	GNB4
NTF4	CD79B
TRPV6	BID
TRPV6	MMP9
FZD8	GNB4
FZD8	FGF22
GNB4	VEGFA
GNB4	PIP5K1B
GNB4	FCGR1A
GNB4	FGF22
GNB4	FGF3
BID	MMP9
BID	PTH
BID	SLC29A4
ATP2A2	ELK1
TFPI	MMP9
ATP6V0A2	SLC25A3
KITLG	PIP5K1B
KITLG	MMP9
KITLG	PTH
SMO	FGF3
SMO	VEGFA
VEGFA	CALM3
VEGFA	PTH
VEGFA	FGF3
VEGFA	PIP5K1B
VEGFA	CD79B
VEGFA	MMP9
VEGFA	SGK2
FCAR	FCGR1A
FCGR1A	CD79B
FCGR1A	PIP5K1B
FCGR1A	FGF22
FGF3	FGF22
FGF3	CD79B
NID1	MMP9
CALM3	CD79B
PTH	MMP9
F13B	F13A1
PIP5K1B	FGF22
CD79B	FGF22
CD79B	IGHV3-7
FGF22	IGHV3-7
