#tail	head
VAMP7	SIRT2
MLLT3	NOG
ESR1	DOCK4
ESR1	PRPF8
ESR1	LEFTY1
ESR1	IGF1
ESR1	POLR2J
ESR1	CLU
ESR1	SRSF6
ESR1	FGFR2
ESR1	JUN
ESR1	NAPA
ESR1	SOX2
ESR1	PGR
ESR1	IGHV4-39
ESR1	FST
ESR1	GNG2
CYP2C9	NOG
CYP2C9	PGR
CYP2C9	FGF8
CYP2C9	CLU
WDR5B	CUL4A
WDR5B	GRWD1
CAND1	HSD17B10
CAND1	ASB14
CAND1	EEF1B2
CAND1	SSBP1
CAND1	MTREX
CAND1	FUS
CAND1	HIST1H4A
CAND1	JUN
CAND1	GRWD1
CAND1	AMPD1
CAND1	CUL4A
CAND1	CUL2
CAND1	CANX
CAND1	KLHL25
DCUN1D5	ASB14
DCUN1D5	COPS7A
DCUN1D5	CUL4A
DCUN1D5	CUL2
DCUN1D5	FBXL20
SMIM1	ERGIC3
ASB14	UBE2Q2
ASB14	COMMD8
ASB14	AMPD1
ASB14	CCDC22
RNF115	UBE2V1
FBXL20	NOG
FBXL20	UBE2V1
FBXL20	COMMD8
CAPZB	UBE2Q2
CAPZB	PGR
CAPZB	DOCK7
SNRNP27	MTREX
SNRNP27	FUS
FST	RGMB
FST	NOG
FST	STAT5B
FST	ZEB1
CANX	JUN
JARID2	ATM
JARID2	ZEB1
JARID2	NCOA3
JARID2	NOG
SMAD4	NCOA3
SMAD4	SFRP2
TRIP4	FUS
SHCBP1	ZNF574
SHCBP1	SOX2
SHCBP1	CUL4A
SIRT2	HIST1H4D
SIRT2	HIST1H3G
SIRT2	HIST1H4A
IGF1	S100A12
IGF1	JUN
IGF1	AKR1B1
IGF1	GRM6
IGF1	PGR
IGF1	XRCC5
IGF1	NOG
IGF1	CLU
IGF1	TFF2
IGF1	PTPN11
IGF1	CEBPD
NCOA3	PGR
NCOA3	POLR2J
NCOA3	CLU
NCOA3	HIST1H4D
NCOA3	JUN
NCOA3	FGF8
NMRAL1	AMPD1
CUL4A	KAT5
CUL4A	HIST1H3G
CUL4A	POLR2J
CUL4A	COPS4
CUL4A	FUS
CUL4A	GRWD1
CUL4A	COMMD8
CUL4A	HIST1H4D
CUL4A	HIST1H4A
MYL2	GRIA1
MYL2	EBF3
MYL2	HBB
STIM1	IFNA14
STIM1	EBF3
STIM1	UBE2V1
STIM1	JUN
STAT5B	DOCK4
STAT5B	MAP2K4
ATL3	SRSF6
HIST1H4D	JUN
HIST1H4D	FUS
HIST1H4D	PRPF8
HIST1H4D	KAT5
HIST1H4D	PIAS4
HIST1H4D	USF3
HIST1H4D	GABARAP
HIST1H4D	CLU
AMPD1	GABARAP
AMPD1	ELOB
AMPD1	ZEB1
AMPD1	ASB2
AMPD1	CUL2
AMPD1	ASB5
FGF18	IRAK1
FGF18	GNG2
FGF18	IGHV4-39
SLC12A5	VDR
CUL2	ASB2
CUL2	RPL31
CUL2	ACLY
CUL2	COMMD8
CUL2	CCDC22
CUL2	XRCC5
CUL2	UBE2V1
CUL2	EEF1B2
CUL2	FUS
CUL2	HIST1H4A
SLC26A3	VDR
REST	HIST1H4A
REST	CLU
REST	NOG
DOCK7	SOX2
POLR2J	ELOB
POLR2J	HIST1H4A
PGR	HIST1H4A
PGR	EEF1B2
PGR	FGFR2
PGR	XRCC5
PGR	BRINP3
PGR	F2RL3
INPP5A	GNG2
WNT9B	GRM3
F2RL3	GNG2
F2RL3	HSD17B10
NAPA	TCOF1
NAPA	COPS4
NAPA	ACLY
GRM3	IFNA14
GRM3	IFNA13
ACLY	TERF2
SOX2	PFKP
SOX2	HSD17B10
SOX2	ZEB1
XRCC5	PIAS4
XRCC5	PRPF8
XRCC5	JUN
XRCC5	HSD17B10
VDR	GRIA1
VDR	NOG
VDR	UBE2V1
VDR	JUN
VDR	UBE2Q2
VDR	EBF3
FEM1B	COPS7A
FEM1B	COPS4
GNG2	IGHG3
GNG2	FGFR2
GNG2	IRAK1
GNG2	GRM6
GNG2	IGHV4-39
MAP2K4	IRAK1
ERGIC3	JUN
GMPR	AKR1B1
GMPR	ASPG
CCDC22	KLHL25
CCDC22	COMMD8
CCDC22	COPS7A
CCDC22	ASB5
CCDC22	ELOB
CCDC22	ASB2
ZNF574	NHLH1
HSD17B10	AKR1B1
HSD17B10	FGF8
HSD17B10	GABARAP
HSD17B10	HBB
HSD17B10	NOG
COPS7A	COMMD8
COPS7A	KLHL25
COPS7A	ASB5
COPS7A	ASB2
TERF2	MTREX
