#tail	head
NR2E3	NPM1
NCALD	PYGB
NCALD	VDAC3
TYRO3	NOG
TYRO3	PTPN21
MCOLN3	NOG
KRT8	FN1
KRT8	EGFR
CCT3	ACTBL2
CCT3	TUBA8
CCT3	FN1
CCT3	GAPDHS
MYO7A	VEZT
GAPDHS	NANP
GAPDHS	DUSP10
GAPDHS	LDHD
PTGER3	KRT38
CDC34	NUP93
CDC34	TUBA8
CDC34	SLC27A4
RBM4	SLBP
RBM4	NTRK1
RBM4	FN1
NPM1	SRSF1
NPM1	CHD3
NPM1	OTUB1
NPM1	G3BP1
SLC4A8	FYN
SLC4A8	SLC4A5
SLC4A8	SLC24A5
ARIH2	UBE2D1
ARIH2	NTRK1
ARIH2	BMX
SLC30A4	F2
SLC30A4	SP1
FAM171B	TMEM17
HBS1L	PRKAA2
STXBP3	NTRK1
MMP2	IL1B
MMP2	SP1
OSM	IL1B
WASL	NTRK1
WASL	WNT5A
TUBA8	TRIM54
TUBA8	NTRK1
TUBA8	ACSL3
ITGB5	ITGAV
ITGB5	EHMT2
ITGB5	FYN
ITGB5	SLC24A5
VDAC3	LAMTOR3
VDAC3	SRI
VDAC3	OTUB1
HIST1H2BJ	FN1
HIST1H2BJ	HIST1H4F
TOR1AIP1	EGFR
TOR1AIP1	PPM1A
PIK3C2G	CLTB
CTNND1	GRIA2
CTNND1	CTNNA1
OTUB1	CPEB2
OTUB1	ATP5PB
OTUB1	SP1
ATP5F1C	FN1
ATP5F1C	EGFR
STIM1	PPFIA1
STIM1	WNT5A
STIM1	PYGB
STIM1	RUFY1
STIM1	IL1B
SGK1	RPL3
SGK1	HIST1H4F
SGK1	PSMD6
GRIA2	SLC24A5
ZFYVE21	SP1
NUP93	HSPA5
MT1A	SLC5A1
RLN2	NOG
PIK3C2A	CLTB
PIK3C2A	PIKFYVE
PIK3C2A	ITGAV
PIK3C2A	NOG
SYT2	CLTB
POLR2C	TADA2A
POLR2C	PAX6
POLR2C	PSMC3IP
PYGB	SLC24A5
PYGB	ATP2B1
PYGB	CACNA2D3
PYGB	SLC5A1
DUSP10	FN1
ACTBL2	PFN3
PPFIA1	SLC18A3
PPFIA1	UNC13B
PPFIA1	SRI
ZNF148	ATM
ASB3	COMMD3
TADA2A	HELT
TADA2A	SRSF1
PTPN21	EGFR
PTPN21	FYN
PTPN21	BMX
AHCYL2	SLC5A1
HELT	TRAF1
RABGEF1	UBE2D1
RABGEF1	NOG
DEAF1	HSPA5
F2	SP1
F2	ATM
F2	PRKCG
HSPA5	AIRE
HSPA5	SLBP
HSPA5	DHX30
TMEM17	VEZT
TMEM17	NOG
TMEM17	ATP2B1
SF3A1	SP1
SF3A1	CHD3
SF3A1	HNRNPR
SF3A1	SYNCRIP
RUFY1	PIKFYVE
RUFY1	BMX
GNG5	SLC24A5
GNG5	FXYD7
ACSL3	CERS6
ACSL3	RXRA
RXRB	COL4A4
IL1B	PRKAA2
FN1	ATM
FN1	DHX30
FN1	CA1
FN1	PDHA1
FN1	HNRNPR
FN1	UPF1
FN1	G3BP1
CELF5	ERI3
CELF5	CASC3
UPF1	G3BP1
UPF1	NDUFB10
UPF1	ATM
HIST1H4F	WNT5A
HIST1H4F	NTRK1
HIST1H4F	EHMT2
HIST1H4F	CHD3
ZC2HC1C	RINT1
ENAH	NTRK1
STK11	ATM
DCAF7	TRAF1
GNB2	PRKCG
GNB2	FYN
GNB2	CHD3
EGFR	KIAA1217
EGFR	ITGAV
EGFR	CLTB
EGFR	ATP2B1
EGFR	G3BP1
NTRK1	NOG
NTRK1	PDHA1
NTRK1	UCHL5
NTRK1	HNRNPH3
NTRK1	SRSF1
NTRK1	ITGAV
NTRK1	G3BP1
ITGAV	ATM
FXYD7	SLC5A1
ATP2B1	SLC24A5
SP1	PIKFYVE
SP1	SLC5A1
SP1	ODR4
SP1	ATM
SP1	HNRNPR
SP1	SLC18A3
FYN	G3BP1
FYN	COL4A6
FYN	BMX
FYN	PRKCG
FHL2	KIAA1217
SLC4A5	RXRA
SLC4A5	TRPM4
SLC4A5	SLC24A5
RXRA	PSMC3IP
DHX30	G3BP1
NOG	SYNCRIP
NOG	DIRAS2
NOG	CACNA2D3
NOG	HNRNPR
NOG	WNT5A
PDHA1	G3BP1
SRSF1	CHD3
G3BP1	SRI
SLC24A5	SLC6A19
SLC24A5	VAMP2
VAMP2	UNC13B
EXOSC1	UTP20
DIRAS2	UNC13B
UNC13B	SLC18A3
SLBP	SYNCRIP
ATP5PB	CERS6
