#tail	head
KCTD8	CEP162
SIN3B	SIN3A
SIN3B	HIST1H2BB
SIN3B	HIST1H3B
SIN3B	ESR2
SIN3B	MYC
SIN3B	SMARCA4
USP33	INS
RALY	NAPG
RALY	NAPA
RALY	HIST1H3B
RALY	AHCY
CTSD	ESR2
CTSD	TP53
CTSD	INS
CTSD	LDHA
HADHA	AHCY
HADHA	ESR2
HADHA	LDHA
HADHA	MYC
HADHA	TRAF6
HADHA	GAPDH
TRAF6	AHCY
TRAF6	ACTR2
TRAF6	TP53
TRAF6	GNPTAB
TRAF6	INS
TRAF6	GAPDH
TRAF6	PINK1
TRAF6	TUBB
MED1	CLDN4
MED1	TRERF1
MED1	MYC
MED1	CD3D
MED1	TP53
MED1	ESR2
MED1	SMARCA4
MED1	CYP2C19
ME2	ME3
ATXN2	ESR2
ATXN2	PLS3
ATXN2	INS
HLA-DPB1	PTPRJ
HLA-DPB1	TRBV7-9
HLA-DPB1	HLA-DQB2
HLA-DPB1	KIF22
GADD45GIP1	HIST1H3B
HM13	TCTN3
HM13	TMEM67
ISG15	LDHA
ISG15	INS
ISG15	VIM
ISG15	SIN3A
PINK1	TUBB
CEP162	TMEM67
CEP162	TRIM27
CEP162	TCTN3
C1QBP	TUBB
C1QBP	NAPG
C1QBP	AHCY
C1QBP	HIST1H3B
C1QBP	NFKBIE
NLRP11	VIM
GAPDH	LDHA
GAPDH	ME3
GAPDH	RPN1
GAPDH	VIM
GAPDH	NAPA
GAPDH	DHRS9
GAPDH	E2F1
GAPDH	HSP90AB1
GAPDH	TP53
GAPDH	NFE2
GAPDH	INS
GAPDH	AHCY
GAPDH	EP300
GAPDH	CLDN4
E2F1	TP53
E2F1	SMARCA4
E2F1	BTRC
E2F1	TRERF1
E2F1	EP300
E2F1	KIF22
AHCY	NAPA
AHCY	PLS3
AHCY	HSP90AB1
AHCY	RPN1
AHCY	PPP1R12A
AHCY	CCT5
NFE2	PLS3
CYP1A1	CYP2C19
CYP1A1	EP300
CYP1A1	CLDN4
CYP1A1	TP53
CYP1A1	SMARCA4
CYP1A1	ESR2
KIF22	ESR2
KIF22	HMGXB4
KIF22	HLA-DQB2
MYC	TRERF1
MYC	ESR2
MYC	RPN1
MYC	SMARCA4
MYC	LDHA
MYC	CYP2C19
MYC	EP300
MYC	CLDN4
MYC	CCT5
MYC	SIN3A
MYC	PPP1R12A
MYC	TUBB
MYC	HIST1H2BB
MYC	HIST1H3B
MYC	NAPA
MYC	ABCB10
L1CAM	AP2S1
NAPG	LDHA
NAPG	NAPA
NAPG	RPN1
NAPG	PPP1R12A
NAPG	PLS3
NAPG	CCT5
STAMBPL1	TRIM27
STAMBPL1	GNPTAB
TRERF1	CYP2C19
TRERF1	EP300
TRERF1	SMARCA4
ESR2	CYP2C19
ESR2	AP2S1
ESR2	LDHA
ESR2	CLDN4
ESR2	VIM
ESR2	CCT5
ESR2	HSP90AB1
ESR2	DHRS9
ESR2	SMARCA4
ESR2	FAM120C
ESR2	LAMP2
ESR2	HIST1H3B
ESR2	ACTR2
ESR2	TP53
ESR2	TRIM27
HIST1H2BB	EP300
HSP90AB1	TRIM27
HSP90AB1	INS
HSP90AB1	LDHA
HSP90AB1	BTRC
HSP90AB1	TUBB
HSP90AB1	NAPA
PLS3	RPN1
PLS3	NAPA
LAMP2	VPS35
LAMP2	TUBB
TRIM27	TP53
PPP1R12A	TP53
PPP1R12A	RPN1
PPP1R12A	ACTR2
INS	TP53
INS	LDHA
INS	RPN1
INS	VIM
INS	ACTR2
INS	SIN3A
INS	EP300
INS	TUBB
TCTN3	RPN1
TCTN3	TMEM67
HMGXB4	HIST1H3B
NMNAT2	DHRS9
NMNAT2	ME3
NAPA	ACTR2
NAPA	RPN1
TP53	SMARCA4
TP53	UIMC1
TP53	CYP2C19
TP53	EP300
TP53	CLDN4
TP53	BTRC
TP53	TMEM67
TOX3	TMEM67
TUBB	SMARCA4
TUBB	TMEM67
TUBB	NFKBIE
TUBB	VIM
SIN3A	HIST1H3B
SIN3A	CYP2C19
SMARCA4	HIST1H3B
DHRS9	CYP2C19
DHRS9	ME3
TRBV7-9	PTPRJ
TRBV7-9	CD3D
TRBV7-9	HLA-DQB2
HLA-DQB2	PTPRJ
HLA-DQB2	AP2S1
EP300	HIST1H3B
EP300	CYP2C19
EP300	CLDN4
CD3D	ACTR2
CD3D	AP2S1
TMEM67	RPN1
ME3	LDHA
BTRC	CCT5
RPN1	CCT5
RPN1	LDHA
