#tail	head
DUSP16	HAX1
HOXB5	SRC
IGHV3-48	IGKV3-20
IGHV3-48	GNG2
IGHV3-48	IGLC1
IGHV3-48	IGLV3-25
IGHV3-48	IGKV5-2
IGHV3-48	PLCG1
SRC	IGLC1
SRC	PLCG1
SRC	SORBS2
SRC	CASP3
SRC	CPNE1
SRC	GNG7
SRC	NTRK1
SRC	RHOD
SRC	IGKV5-2
SRC	IGLV3-25
SRC	MVP
SRC	NEDD4
ZHX2	ELF2
ZHX2	OGA
ZHX2	HRAS
PDX1	RHOBTB1
SKIL	CPNE1
SKIL	MACF1
SKIL	PSMB1
RHOD	VAV3
RHOD	HRAS
WDYHV1	TRIM54
WDYHV1	CARD9
WDYHV1	GLYR1
CCL11	GNG2
CCL11	CASP3
CCL11	CASR
CCL11	CCR10
SERPINE1	HRAS
CTU1	NYX
CTU1	FHL5
TRIM54	GTF2IRD2
CNTRL	YWHAG
CNTRL	IGKV3-20
CNTRL	FRS2
CNTRL	NIN
CNTRL	MAP7D3
CNTRL	IGLV3-25
CNTRL	PLCG1
CNTRL	UPF1
CNTRL	PRKACA
CNTRL	NRG1
CNTRL	IGLC1
CNTRL	HMMR
PRKACA	GNA14
PRKACA	CREM
PRKACA	SYN2
PRKACA	YWHAG
PRKACA	PLCG1
PRKACA	NIN
PRKACA	VEGFA
PRKACA	NOG
HAX1	GNG2
HAX1	IL1A
SNRNP25	SNRNP48
MT3	IL1A
HMMR	YWHAG
ZBTB6	NOG
EIF3D	NTRK1
EIF3D	SORBS2
EIF3D	RPS28
IGLV3-25	NRG1
IGLV3-25	GNG7
IGLV3-25	ITPR2
IGLV3-25	FRS2
VNN2	UQCRH
NPFFR2	GNG7
MVP	DLX2
MVP	SORBS2
RPS28	WDR46
RPS28	RPL18
RPS28	IMP4
RPS28	HNRNPD
CHUK	INSYN2
OS9	CASR
CASR	RNF19A
CASR	GNG7
CASR	VEGFA
CASR	AGT
RPL19	TEX15
PSMB1	OAZ3
PSMB1	GLYR1
PSMB1	HNRNPD
NGB	CASP3
NGB	AGT
NGB	IL1A
CNR1	NOG
SLC6A13	AGT
CHAT	PDHB
OGA	NACC1
OGA	CASP3
OGA	SRCAP
OGA	CCDC88A
OGA	NEDD4
OGA	NOG
OGA	PPIB
SLC24A3	TRPC4
SLC24A3	TRPC3
SLC24A3	CACNA1D
VAV3	FRS2
VAV3	IGLC1
VAV3	RHOBTB1
VAV3	GNG2
VAV3	IGKV3-20
VAV3	GNG7
RCAN1	GSK3B
RCAN1	NOG
RCAN1	PPP3CC
SORBS2	ATP6V1A
SORBS2	HNRNPD
SORBS2	NOG
UPF1	NIN
UPF1	URM1
NRG1	CPSF6
NRG1	PLCG1
NRG1	HRAS
NRG1	TUBB3
NRG1	IGKV3-20
GNA14	DNAL4
GNA14	NOG
GNA14	HRAS
GNA14	PLCG1
GNG7	HBEGF
GNG7	IGLC1
GNG7	FRS2
GNG7	PLCG1
GNG7	AGT
GNG7	CACNA1D
UBE2J2	RNF19A
GNG2	FRS2
GNG2	HBEGF
GNG2	IGKV1-39
GNG2	PLCG1
GNG2	TRPC3
GNG2	IGKV3-20
GNG2	CCR10
TUBB3	DNAL4
MLF1	NOG
MLF1	GTF2IRD2
NTRK1	FRS2
NTRK1	RPL18
NTRK1	HNRNPD
NTRK1	ARAP1
YBX1	PCBP2
YBX1	HNRNPD
FRS2	IGKV1-39
FRS2	IGKV5-2
YWHAG	CASP3
YWHAG	STAT1
STAT1	VEGFA
STAT1	AGT
GSK3B	MACF1
GSK3B	HRAS
GSK3B	CASP3
GSK3B	PPP3CC
CPSF6	NOG
CPSF6	VEGFA
CPSF6	PLCG1
SLC34A3	ATP6V1A
COX8A	COX7A2
AKR7A2	VEGFA
AKR7A2	CASP3
TEX11	VIL1
NOG	UBE2E2
NOG	PPP3CC
NOG	VEGFA
NOG	SPRYD7
NOG	MACF1
NOG	SP140L
NOG	ITPR2
VEGFA	HRAS
VEGFA	IGKV5-2
VEGFA	IL1A
VEGFA	CASP3
VEGFA	AGT
UBE2E2	RNF19A
UBE2E2	CASP3
AGT	ID2
AGT	CASP3
CASP3	HBEGF
CASP3	HRAS
HRAS	PLCG1
HRAS	HBEGF
GAD1	PLCG1
IGKV1-39	HBEGF
IGLC1	HBEGF
ACSM4	ATP6V1A
RPL18	PDCD11
RPL18	SEC61B
IGKV3-20	TRPC3
IGKV5-2	ITPR2
PPP3CC	ITPR2
TRPC4	PLCG1
TRPC4	CACNA1D
TRPC4	ITPR2
ITPR2	CACNA1D
WDR46	PDCD11
