#tail	head
HMX1	KCNN1
HAUS2	MRPS24
HAUS2	PLK1
HAUS2	PHKG2
SUCLA2	DUSP15
SUCLA2	PTPN11
SUCLA2	UPP1
SUCLA2	INS
SUCLA2	HNRNPL
SUCLA2	SUCLG1
MYH7	KEAP1
EIF4E2	DUSP22
EIF4E2	NADK
EIF4E2	INS
IGLV6-57	LCK
IGLV6-57	AKT1
IGLV6-57	PTPN11
IGLV6-57	IRAK4
IGLV6-57	IGHV1-2
IGLV6-57	DAPP1
RUVBL2	APP
RUVBL2	EHMT2
RUVBL2	NKX2-1
RUVBL2	HIST1H2AE
DUSP16	FGFR4
DUSP16	UPP1
DUSP16	ITK
LIMA1	RAB5C
LIMA1	APP
LIMA1	PPP1R9A
IGHV1-2	CRK
IGHV1-2	CD80
IGHV1-2	FLT3LG
IGHV1-2	LCK
IGHV1-2	IRAK4
IGHV1-2	GAB1
MRPS24	APP
MRPS24	E4F1
PPP2R1B	STRN3
PPP2R1B	HNRNPL
PPP2R1B	AKT1
PPP2R1B	INS
IGKV2D-30	AKT1
IGKV2D-30	HCK
SMIM1	TM4SF19
SMIM1	C5
SMIM1	C9
SMIM1	APP
CEP128	SIPA1L2
CEP128	DYNLL1
CEP128	CRK
CEP128	TP53
CEP128	CCNB1
CBL	CRK
CCNB1	PDS5B
CCNB1	KEAP1
CCNB1	CDK2
CCNB1	DYNC1I2
PHKG2	PYGL
PHKG2	DNM1
PHKG2	DUSP22
PHKG2	DUSP15
ACTC1	CDH13
ACTC1	DYNLL1
NADK	NME1
NADK	NTPCR
INS	APP
INS	EIF4EBP1
INS	CXCL8
INS	UBE2H
INS	TLE3
INS	DYNLL1
INS	SF3B2
INS	HMGN2
INS	AKT1
DUSP22	JAK1
DUSP22	SUCLG1
DUSP22	UPP1
DUSP22	NME1
DUSP22	LCK
RARA	CHD4
RARA	TFAP4
RARA	AKT1
RARA	HIST1H2AE
RARA	PRKCG
ATP5MC3	UPP1
ATP5MC3	NSF
ATP5MC3	SUCLG1
TFDP1	CDK2
TFDP1	PDS5B
TFDP1	HMGN2
JAK1	PRKCG
JAK1	ITK
CDK2	KDM2A
CDK2	HIST1H2AE
CDK2	PSMA5
CDK2	HMGN2
CDK2	RAB5C
CDK2	APP
CDK2	KAT2B
FBXO6	NME1
FBXO6	CDC45
KAT2B	NCF1
KAT2B	TP53
KAT2B	EHMT2
KAT2B	CHD4
TAL1	CDK9
TAL1	HCK
TAL1	SKP2
TAL1	TFAP4
TAL1	CHD4
METTL14	SNRPD2
POU3F2	NEUROG1
POU3F2	FGFR4
HNRNPL	CHD3
HNRNPL	KDM2A
HNRNPL	LZTS2
HNRNPL	TFAP4
HNRNPL	CHD4
STRN3	NKX2-1
STRN3	DYNLL1
NTPCR	CD38
RAB5C	CHMP2A
RAB5C	APP
RAB5C	KDM2A
PDS5B	DYNC1I2
PDS5B	DYNLL1
PDS5B	CDCA8
SVIL	LEF1
SVIL	SH3PXD2A
SVIL	HIST1H2AE
KRTAP10-3	HYAL2
FOXL1	NSF
FOXL1	UBE2H
FOXL1	TLE3
PYGL	ATP2A1
FOXO1	TP53
FOXO1	TFAP4
CDKN2A	MAP3K5
AKT1	ITK
AKT1	IGKV2D-28
AKT1	S100A9
AKT1	FLT3LG
AKT1	NSF
AKT1	LCK
AKT1	HGF
DAPP1	LCK
DAPP1	HGF
DAPP1	PTPN11
DAPP1	FLT3LG
DAPP1	IGHG2
DAPP1	TM4SF19
FGFR4	IGKV2D-28
FGFR4	IRAK4
FGFR4	GAB1
FGFR4	PTPN11
FGFR4	CDK9
LEF1	ITK
LEF1	PSMA5
LEF1	SUCLG1
LEF1	DUSP15
LEF1	RTKN
LEF1	PTPDC1
LEF1	NKX2-1
LEF1	THAP10
DNM1	CXCL8
DNM1	CD3D
DNM1	MAP3K5
RC3H1	SNRPD2
RC3H1	SF3B2
RC3H1	ATF1
RC3H1	XRCC6
KDM2A	ECPAS
E4F1	UBE2H
E4F1	TP53
UPP1	NSF
TP53	SKP2
TP53	CPTP
TP53	PDCD6
TP53	CHD4
TP53	CPNE5
TP53	NINL
DERL1	CDC45
DERL1	ERN1
ATF1	TFAP4
ATF1	ITK
ATF1	CHD3
CD3D	LCK
CD3D	PTPN11
CD3D	ITK
DYNC1I2	ITK
DYNC1I2	TUBA4A
TEAD3	TNIK
FLT3LG	CD80
FLT3LG	TFAP4
FLT3LG	GAB1
ATP6V0D1	NSF
HYAL2	TFAP4
HYAL2	SPZ1
SMNDC1	SRRM1
SMNDC1	SF3B2
SMNDC1	PHF5A
ITK	HCK
ITK	DUSP15
ITK	IGKV2D-28
ITK	LCK
ITK	HGF
ITK	CD80
PTPDC1	CXCL8
LCK	GAB1
LCK	IGHG2
LCK	CD80
LCK	IRAK4
LCK	FCGR2A
LCK	TFAP4
LCK	PTPN11
SUCLG1	NSF
SUCLG1	ECHS1
SUCLG1	TRMT61B
IGHG2	HGF
IGHG2	CD80
IGHG2	GAB1
IGHG2	HCK
IGHG2	IRAK4
PHF5A	SF3B2
NME1	DYNLL1
LZTS2	TFAP4
PLK1	PSMA5
PLK1	FBF1
PLK1	APP
XRCC6	CHD3
PRKCG	CRK
CHD4	SNRPD2
CHD4	SRRM1
CXCL8	HGF
SSX2IP	DYNLL1
SSX2IP	FBF1
TAZ	ECHS1
NINL	SIPA1L2
CCT2	TTC27
KLK15	TUBA4A
HCK	IGKV2D-28
RTKN	APP
ERN1	MAP3K5
IGKV2D-28	GAB1
IGKV2D-28	CRK
SF3B2	SIPA1L2
ECPAS	PSMA5
DUSP15	CRK
GAB1	HGF
GAB1	CRK
GAB1	CD80
HGF	FCGR2A
HGF	CD80
EHMT2	TFAP4
NCF1	APP
ABHD16A	TFAP4
