#tail	head
EZH1	MAT2A
MAT2A	LEF1
MAT2A	ALDH1A3
MAT2A	MAT2B
MAT2A	MYC
SLC41A3	GPR37
SLC41A3	SMO
TNIP3	JUN
PITX2	JUN
PITX2	PRPF8
PITX2	MYC
PITX2	SS18
PITX2	POU2F1
PITX2	RNF220
PITX2	GATA1
PITX2	PRDM16
UBTFL1	NOTO
RPL37A	NOP58
NUDCD3	HNRNPL
EED	RB1
EED	NOP58
EED	HNRNPL
EED	LEF1
EED	PRPF8
AACS	SLC27A6
ZBTB8A	TCF3
LEF1	SS18
LEF1	CEP41
LEF1	ACTR1A
LEF1	UBE2K
RB1	MYC
RB1	NOTCH1
RB1	JUN
ZIC2	UBE2K
CHRDL2	FAM20C
CEP41	POU2F1
CEP41	ACTR1A
CEP41	TCF3
BLK	ATP5F1C
BLK	MYC
NOTCH1	KIAA1191
NOTCH1	TCF3
NOTCH1	CACNA1A
NOTCH1	PRPF8
NOTCH1	GOLGA2
NOTCH1	JUN
ACOT13	CDK2
KIAA1191	COX14
KIAA1191	CACNA1A
JUN	MCM7
JUN	YIF1A
JUN	MYC
JUN	NRG1
JUN	PRPF8
JUN	RPS15A
HBS1L	NRG1
MYC	NRG1
MYC	TCF3
MYC	POU4F2
MYC	TRAP1
COX14	ATP5F1C
MESD	CUTC
LNX2	CDK2
POU2F1	UBE2K
POU2F1	TCF3
ZMAT5	LSM2
ARMCX3	TCF3
MCM7	CDK2
MCM7	TCF3
TRAP1	NRG1
ALDH2	ATP5F1C
GOLGA2	ATP5F1C
TCF3	CDK2
TCF3	HNRNPL
MAT2B	ALDH1A3
RNF220	UBE2K
GATA1	TBX4
NRG1	IGKV3-20
