#tail	head
MAGED1	GCM1
RPL9	RRP1B
RPL9	FAM9B
RPL9	IGF2BP1
LDHB	INS
LDHB	KYAT1
KLRC2	FGF19
KLRC2	FGF4
KLRC2	KLB
SETD1A	EPB41L2
SETD1A	EIF4A3
SETD1A	IARS
SETD1A	MOV10
SETD1A	ATP6V1A
SETD1A	HNRNPA2B1
SETD1A	PON2
SETD1A	MKI67
RHOG	CD79B
RHOG	PIK3CA
IL12B	IFNG
IL12B	ADIPOQ
IL12B	RARA
HNRNPA2B1	SEMA7A
HNRNPA2B1	SFPQ
HNRNPA2B1	MAX
HNRNPA2B1	ATP1B1
CALM1	TAF1
CALM1	PON2
CALM1	RELA
CALM1	ATP1B1
CALM1	PRKCE
CALM1	MYC
HTR3C	TMEM206
HTR3C	SPPL2B
MKI67	BRCA1
MKI67	G3BP1
MKI67	RARA
MKI67	MOV10
PRKCE	PTH
PRKCE	CXCR3
TAF1	MOV10
TAF1	PSMB8
TAF1	HIST1H4E
TAF1	RPL19
TAF1	RPL24
TAF1	USO1
TAF1	CD79B
CALCOCO1	TPM3
CALCOCO1	SFPQ
DDX18	UTP20
YBX3	HIST1H4E
S100A8	INS
S100A8	CEBPB
S100A8	PTGIR
CCHCR1	KIAA0753
INHBC	FZD4
TNFAIP3	NFKB1
PON2	RELA
PON2	SFPQ
INS	DDX42
INS	PTGIR
INS	ADIPOQ
INS	MORF4L2
INS	DCXR
INS	GSTP1
INS	IFIT2
INS	BCL2
INS	VAMP4
INS	USO1
INS	RELA
INS	GSK3B
INS	MYD88
INS	ZSCAN32
INS	FZD9
INS	RRP1B
INS	FZD4
INS	CEBPB
INS	NONO
INS	ALB
INS	TPM3
INS	UTP20
INS	PLCG1
INS	DNAJA4
RARA	PLCG1
RARA	BOLA2B
RARA	BRCA1
RARA	RPL10
DDX42	SFPQ
GCM1	RELA
GCM1	ADRA1B
GCM1	ADD3
TMEM222	SSMEM1
EPB41L1	ETS2
DCXR	GSTP1
DCXR	ALB
DCXR	MYC
ZNF135	GSK3B
KLB	MYD88
KLB	LCK
KLB	PIK3CA
KLB	KLRD1
IGHV1-46	HCK
IFNA1	FZD4
IFNA1	RELA
RNF5	OS9
PTH	ADRA1B
ACVRL1	BMP5
ETS2	IGF2BP1
ETS2	LCK
ETS2	NFKB1
ETS2	CXCR3
ETS2	POU5F1
FGF19	PIP5K1B
FGF19	MYC
FGF19	MAX
FGF19	BLNK
SLC7A5	BET1
NLK	STAT6
BPGM	ESPN
CEBPB	ALB
CEBPB	HMGA1
ALB	NFKB1
ALB	ADIPOQ
ALB	OGA
ALB	DICER1
ALB	HSPA1A
ALB	EIF4A3
ALB	GSK3B
ALB	RELA
BRCA1	CGB8
BRCA1	MYC
BRCA1	HIST1H4E
BRCA1	RAD9A
BRCA1	NFKB1
BRCA1	SEPT7
BRCA1	RELA
GPC1	HSPA1A
GPC1	CLDN4
GPC1	SFPQ
GPC1	SEPT7
GPC1	SLC11A2
SLC11A2	CLDN4
SLC11A2	KRT14
SLC11A2	RELA
SLC11A2	HRAS
SLC11A2	IFNG
DHPS	SH3GL1
NONO	HIST1H4E
CGB8	GSK3B
CGB8	IDH3A
ADIPOQ	GNA12
ADIPOQ	KLRC3
ADIPOQ	BCL2
BCL2	HIST1H4E
BCL2	RAD9A
SH3GL1	HSPA1A
SH3GL1	PIP5K1B
SH3GL1	POU5F1
SH3GL1	ADD3
SH3GL1	SEMA7A
SH3GL1	ARHGAP1
BOLA2B	OGA
HIST1H4E	VHL
HIST1H4E	MORF4L2
HIST1H4E	NFKB1
HIST1H4E	RPL24
BMP5	FZD4
FZD4	WNT3A
FZD4	PIP5K1B
KLRC3	HMGA1
EPB41L2	SFPQ
EPB41L2	SEMA7A
RPL19	MOV10
RPL19	MAX
RPL19	MYC
RPL10	OGA
EIF4A3	ATP6V1A
EIF4A3	LBR
EIF4A3	SEMA7A
ZW10	KDELR2
UBR3	TCF3
UBR3	HMGA1
OGA	ATP6V1A
OGA	SNRPA1
OGA	DICER1
OGA	RELA
OGA	XIAP
OGA	EIF4EBP1
OGA	IGF2BP1
OGA	NUFIP2
OGA	CEP44
OGA	IARS
OGA	THOP1
ZDHHC14	GTF3A
KCNK1	ATP1B1
NUFIP2	RELA
NUFIP2	GTF3A
NUFIP2	SEPT2
NUFIP2	TCF3
NUFIP2	SEPT7
WNT3A	TCF3
WNT3A	PIP5K1B
SSR3	RRP1B
CTPS2	KYAT1
CTPS2	IARS
FGF4	PIK3CA
FGF4	PIP5K1B
FGF4	HRAS
FGF4	KLRD1
FGF4	PLCG1
MOV10	SFPQ
MOV10	SEMA7A
SFPQ	IGF2BP1
SFPQ	DDX20
SFPQ	UTP20
SFPQ	HSPA1A
SFPQ	SNRPA1
BATF3	MAX
HSPA1A	DNAJA4
HSPA1A	SEPT2
HSPA1A	SEMA7A
HSPA1A	MAX
HSPA1A	IGF2BP1
HSPA1A	GSK3B
HSPA1A	HMGA1
HSPA1A	NFKB1
HSPA1A	MYD88
SURF6	BET1
EIF4EBP1	SLCO5A1
EIF4EBP1	PIK3CA
EIF4EBP1	GSTP1
PIP5K1B	BLNK
PIP5K1B	KLRD1
DDX20	POU5F1
SLCO5A1	MYC
SLCO5A1	RELA
SEPT2	G3BP1
SEPT2	SURF4
PHLDA3	LBR
PIK3CA	PLCG1
PIK3CA	IDH3A
PIK3CA	GJC1
PIK3CA	HRAS
IDH3A	KYAT1
IDH3A	CLDN4
STAT6	PLCG1
STAT6	IFNG
STAT6	HRAS
NFKB1	MYC
NFKB1	GSTP1
LCK	PLCG1
LCK	RELA
ADD3	TCF3
ADD3	MAX
USO1	KDELR2
USO1	PLCG1
USO1	TCF3
ATP2B1	TPM3
PSMB8	THOP1
HMGA1	G3BP1
HMGA1	MYC
HMGA1	POU5F1
VHL	SNRPA1
CA11	ATP6V1A
SEMA7A	MYC
SEMA7A	IARS
IFNG	RELA
IFNG	CXCR3
IFNG	GSK3B
KYAT1	TCF3
RPL24	POU5F1
RPL24	RRP1B
RPL24	TCF3
GSK3B	PSMA2
GSK3B	IGF2BP1
GSK3B	RELA
SNRPA1	SEPT7
THOP1	GSTP1
PSMA2	RELA
PSMA2	MYC
KLRD1	BLNK
KLRD1	PLCG1
MYC	MAX
MYC	POU5F1
MYC	RELA
MYC	LBR
MYC	KDELR2
DICER1	ADRA1B
DICER1	SPN
DICER1	SEPT7
GRHPR	MAX
TCF3	ADRA1B
TCF3	UNC50
TCF3	E2F3
TCF3	LBR
TCF3	TPM3
HRAS	CLDN4
HRAS	HCK
MAX	GNA12
G3BP1	SEPT7
HCK	CTAG1B
XIAP	CASP4
GSTP1	CASP4
MYD88	PLCG1
ARL13B	SPN
