#tail	head
TOMM22	DPM1
TGOLN2	BIN1
TGOLN2	BMP2K
TGOLN2	VDAC2
TGOLN2	PIK3CB
TGOLN2	VAT1
TGOLN2	RBM14
SEPHS1	PHKG2
SEPHS1	SET
SEPHS1	GNB2
SEPHS1	AHCY
SEPHS1	RAE1
SEPHS1	CCNY
SEPHS1	SF1
SEPHS1	RAI14
SEPHS1	PRKACA
COPS6	RAE1
COPS6	COPS4
COPS6	TXN
COPS6	COMMD7
COPS6	ASB16
COPS6	PSMA7
COPS6	HSP90B1
COPS6	LRR1
ATP6V1F	COX14
ATP6V1F	PHKG2
ATP6V1F	GAPDH
SLC22A16	RAB21
HBS1L	SF3A2
HBS1L	SNRPD1
HBS1L	NTRK1
PHKG2	TPTE2
PHKG2	ATP2A3
PHKG2	DOLPP1
PHKG2	GAPDH
PHKG2	PRKACA
PHKG2	VDAC2
MRPS9	SPDL1
MRPS9	FGF8
MRPS9	MRPL53
MRPS9	NTRK1
PLD2	AGPAT2
PLD2	CEPT1
PLD2	PLA2G4D
PLD2	LPCAT4
PLD2	CDIPT
PLD2	CHPT1
LPCAT4	SPTLC1
LPCAT4	OGDHL
LPCAT4	CHPT1
SLC35G3	COASY
SLC35G3	ACOT4
MRPL53	MRPL57
ROR2	TPTE2
CNTRL	FGF8
CNTRL	HAUS4
CNTRL	TTF2
CNTRL	PIK3R3
ACOT4	COASY
RAE1	AHCY
RAE1	SF3A2
RAE1	SNRPD1
RAE1	CTTN
RAE1	SMN1
RAE1	SET
RAE1	NXF1
RAE1	NUP98
LPGAT1	PLA2G4E
LPGAT1	OGDHL
LPGAT1	COASY
PRKACA	SMN1
PRKACA	CTTN
PRKACA	DYRK1A
PRKACA	SF1
PRKACA	PITX2
SIGLEC12	CDIPT
SNRPD1	NUP98
SNRPD1	SMN1
SNRPD1	LGALS3
CENPT	NUP98
CENPT	PPP2CB
CENPT	SPDL1
LSM4	SF1
ASB16	COPS4
ASB16	GAPDH
ASB16	SPDL1
VDAC2	HTR3E
VDAC2	UBA52
VDAC2	CHRNB3
VDAC2	RNF4
VDAC2	CACNG5
CEPT1	LEF1
CEPT1	PLA2G4E
CEPT1	ATP8A1
CEPT1	CDIPT
PCDHB5	ATP2A3
TRAF2	RNF4
TRAF2	PIK3CB
TRAF2	UBA52
TRAF2	DYRK1A
TRAF2	TAB1
TRAF2	PRKCB
TRAF2	PSMA7
ELF5	BMP4
ELF5	LEF1
PIK3CB	TPTE2
PIK3CB	CDIPT
PIK3CB	CD86
PIK3CB	CACNG5
CDIPT	PLA2G4D
CDIPT	PLA2G4A
CDIPT	PIK3R3
PDCD6IP	UBA52
PDCD6IP	IKBKE
PDCD6IP	LGALS3
PDCD6IP	TTF2
PDCD6IP	TAB1
LEF1	PLA2G4A
LEF1	GDF1
LEF1	TBR1
LEF1	GAPDH
LEF1	ANXA6
PLA2G4C	PLA2G4A
PLA2G4C	PLA2G4D
CCL4L2	GNB2
BIN1	CTTN
BIN1	SET
TMEM17	CNNM3
AHCY	SF1
AHCY	HSP90B1
AHCY	BMP2K
AHCY	GNB2
AHCY	COPS4
AHCY	SP1
AHCY	GAPDH
AHCY	CTTN
ATP2A3	HTR3E
ATP2A3	CHRNB3
BMP2K	SEC23A
BMP2K	SF1
TPTE2	PIK3R3
TPTE2	GAPDH
TPTE2	NTRK1
SMN1	COPS4
SMN1	SGTA
SMN1	CTTN
DPM1	NTRK1
CTTN	SF1
CTTN	PPP2CB
CTTN	COPS4
CTTN	NTRK1
CTTN	CCNY
CTTN	GAPDH
COMMD7	RELA
COMMD7	COPS4
PIK3R3	UBA52
PIK3R3	GNB2
UBE2L3	SP1
UBE2L3	RNF4
UBE2L3	SF1
UBE2L3	EIF1B
COASY	SPTLC1
COASY	PLA2G4A
FKBP11	RELA
GNB2	SGTA
GNB2	IKBKE
EIF1B	GAPDH
EIF1B	SET
EIF1B	SP1
SGTA	HSP90B1
SGTA	SET
SGTA	COPS4
NXF1	COPS4
NXF1	UBA52
NXF1	DYRK1A
VAT1	NTRK1
NTRK1	DYRK1A
NTRK1	FGF8
NTRK1	UBA52
NTRK1	SF1
NTRK1	COPS4
NTRK1	TXN
NTRK1	YWHAG
PSMA7	UBA52
PSMA7	PPP2CB
PSMA7	IKBKE
CACNG5	PLA2G4A
CACNG5	ATP2B3
RNF4	SP1
RNF4	HSP90B1
RNF4	GAPDH
RNF4	UBA52
RNF4	SF1
RNF4	SF3A2
SP1	SET
SP1	PITX2
SP1	GAPDH
SP1	NDEL1
SP1	YWHAG
SP1	NUP98
FGF8	RELA
FGF8	IGHG3
FGF8	CD86
YWHAG	MAPK1
YWHAG	NDEL1
YWHAG	TUBA1A
YWHAG	UBA52
YWHAG	CCNY
RGMB	TAB1
SPDL1	NUP98
SPDL1	TBR1
GAPDH	ATP2B3
GAPDH	TUBA1A
ATP2B3	PLA2G4A
LRR1	UBA52
LRR1	COPS4
SEC23A	PPP2CB
SEC23A	SF1
OGDHL	PLA2G4A
OGDHL	SPTLC1
HTR3E	ANXA6
NDEL1	NUP98
RELA	MAPK1
RELA	NUP98
MED20	GATA1
AGPAT2	PLA2G4A
GATA1	MAPK1
SF1	MAPK1
SF1	HSP90B1
SF1	PPP2CB
SF1	SET
SF1	COPS4
PPP2CB	ERCC6L
PPP2CB	CD86
PPP2CB	IKBKE
SPTLC1	NUDCD1
LGALS3	TXN
LGALS3	PRKCB
IKBKE	RAB21
COPS4	SET
ANXA6	CHRNB3
ANXA6	TUBA1A
PITX2	NUDCD1
PLA2G4A	MAPK1
PLA2G4A	CHRNB3
ERCC6L	NUP98
TAB1	BMP4
