#tail	head
KRTAP4-12	RPS28
PCBP1	CDK2
PCBP1	HSP90AA1
PCBP1	TMPO
PCBP1	DDX46
PCBP1	HIF1A
PCBP1	RPL26
PCBP1	JARID2
NEU1	GLB1L
NEU1	KCNA4
PIK3C2A	HBEGF
PIK3C2A	ARPC1B
PIK3C2A	ARPC5
PIK3C2A	STAT6
PIK3C2A	SYT9
PIK3C2A	PIP5K1A
PACSIN1	HBEGF
PACSIN1	ARPC1B
PACSIN1	SYT9
PACSIN1	ARPC5
PACSIN1	PIP5K1A
RHOA	MMP9
RHOA	HSP90AA1
RHOA	MAPK8
RHOA	GNAI3
RHOA	IGLV1-44
RHOA	HBEGF
RHOA	PIP5K1A
SLCO2A1	HIF1A
SLCO2A1	SLC4A8
SLCO2A1	MMP9
SLCO2A1	ST13
SLCO2A1	CDK2
SLCO2A1	HSP90AA1
ANXA1	CDK2
ANXA1	GNAI3
ANXA1	TRPM7
ANXA1	HSP90AA1
ANXA1	MMP9
ANXA1	HTR3B
DDX46	TMPO
SLC4A8	SLC9A2
SLC4A8	SLC6A3
SLC4A8	FXYD6
SLC4A8	SLC7A2
SLC6A3	HTR3B
SLC6A3	SLC7A2
SLC6A3	MMP9
SLC6A3	FXYD6
SLC6A3	SLC9A2
TMPO	IGF2BP1
TMPO	HSP90AA1
TMPO	ARPC1B
RPS28	CDK2
RPS28	RPL26
HTR3B	STAT6
HTR3B	KCNA4
HTR3B	KCNG3
HTR3B	FXYD6
HTR3B	CAMK2B
HTR3B	KCNB2
URI1	CDK2
URI1	HSP90AA1
XCR1	CCL13
XCR1	GATA1
XCR1	GNAI3
SLC7A2	SLC9A2
SLC9A2	FXYD6
ARPC1B	HBEGF
ARPC1B	CDK2
ARPC1B	SYT9
ARPC1B	PIP5K1A
ARPC1B	ARPC5
SYT9	PIP5K1A
SYT9	ARPC5
JARID2	GATA1
JARID2	ST13
KCNB2	GATA1
KCNB2	KCNG3
KCNB2	FXYD6
ARPC5	PIP5K1A
ARPC5	HBEGF
IGLV1-44	PIP5K1A
IGLV1-44	HSP90AA1
IGLV1-44	HBEGF
CXCR1	STAT6
CXCR1	GNAI3
CXCR1	CCL13
CXCR1	MMP9
CXCR1	PCDH19
CXCR1	HBEGF
PIP5K1A	GNAI3
PIP5K1A	HSP90AA1
PIP5K1A	HBEGF
HSP90AA1	ST13
HSP90AA1	HIF1A
HSP90AA1	CAMK2B
HSP90AA1	CDK2
HSP90AA1	HBEGF
HSP90AA1	MAPK8
KCNG3	FXYD6
KCNG3	HIF1A
CAMK2B	FXYD6
CAMK2B	STAT6
CAMK2B	TRPM7
CAMK2B	MECP2
IGF2BP1	RPL26
IGF2BP1	HIF1A
GATA1	HBEGF
GATA1	SPIB
ST13	CDK2
RPL26	CDK2
GNAI3	CCL13
GNAI3	MAPK8
MAPK8	STAT6
MAPK8	SPIB
NBEAL1	CHMP4B
NBEAL1	HIF1A
CDK2	HIF1A
CDK2	STAT6
HIF1A	MMP9
HIF1A	CHMP4B
HIF1A	HBEGF
CHMP4B	MECP2
FXYD6	KCNA4
TRPM7	MMP9
TRPM7	CCL13
TRPM7	PCDH19
MMP9	HBEGF
