#tail	head
SERPINF2	CFD
TUFM	MRPL4
TUFM	RPL27A
TUFM	MRPL18
TUFM	MRPS30
TUFM	MRPS18C
TUFM	CANX
TUFM	SEC13
TUFM	TUBB6
TUFM	RPL39
TUFM	SERPINH1
TUFM	MRPL28
TUFM	TUBB1
TUFM	ATP5F1A
TUFM	GABPA
TUFM	RPL22
TUFM	MRPL55
SUMO2	PSAP
SUMO2	HIST1H4B
SUMO2	RUVBL1
SUMO2	RANBP2
SUMO2	ACO2
SUMO2	CUL4B
SUMO2	ESR1
SUMO2	NCOA3
SUMO2	VCP
SUMO2	CSF3
NME5	PDE1C
NME5	GALNT4
NME5	SEPHS1
NME5	FUT9
NME5	POLA2
NME5	A4GALT
NME5	MECR
AKR1C3	CYP1B1
AKR1C3	EIF4EBP1
AKR1C3	HADH
AKR1C3	CD40LG
AKR1C3	POMC
AKR1C3	NOX5
AKR1C3	CYP2C9
AKR1C3	ACO2
AKR1C3	HSD11B1
AKR1C3	HTT
AKR1C3	CD28
AKR1C3	CSF3
AKR1C3	GADD45G
AKR1C3	FSHB
AKR1C3	ESR1
SRSF11	NXF1
SRSF11	CTNNBL1
SRSF11	U2SURP
SRSF11	NOG
SRSF11	VCP
SRSF11	CPSF2
SRSF11	SNU13
TGM3	C16orf70
TGM3	UCHL5
TGM3	E2F6
RPL9	ZC3H18
RPL9	VCP
RPL9	RPL7A
RPL9	RPL27A
RPL9	EIF4G1
MRPS30	MRM3
MRPS30	MRPL18
MRPS30	MRPL53
MRPS30	MRPL38
MRPS30	MRPL28
MRPS30	MRPS23
MRPS30	MRPS18C
TUBB6	TUBA4A
TUBB6	NXF1
TUBB6	NOG
TUBB6	DIAPH2
TUBB6	DYNC1LI2
TUBB6	ARAF
TUBB6	PEX14
CYP2C9	CYP2D6
CYP2C9	NOG
CYP2C9	STAT5A
CYP2C9	CYP11A1
CYP2C9	ABCC2
CYP2C9	HSD11B1
CYP2C9	CYP2B6
CYP2C9	PLA2G1B
CYP2C9	EIF4EBP1
CYP2C9	HADH
CYP2C9	POMC
CYP2C9	ARF6
CYP2C9	FSHB
CYP2C9	EP300
CYP2C9	TNFRSF1A
CYP2C9	ESR2
CYP2C9	NOS3
CYP2C9	CYP3A5
CYP2C9	PLB1
ESR1	PIP4K2A
ESR1	ERBB4
ESR1	E2F6
ESR1	RPL22
ESR1	TERT
ESR1	SLCO5A1
ESR1	ARF6
ESR1	EGFR
ESR1	TUBB1
ESR1	CSF3
ESR1	FOXA1
ESR1	FSHB
ESR1	SLC47A2
ESR1	IGKC
ESR1	NOS3
ESR1	RPS2
ESR1	NCKAP1
ESR1	HIST1H4B
ESR1	SEPHS1
ESR1	INS
ESR1	CYP1B1
ESR1	VCP
ESR1	PTCD3
ESR1	STAT5A
ESR1	YWHAH
ESR1	CYP2B6
ESR1	ABCC1
ESR1	CYP3A5
ESR1	H2BFS
ESR1	CD28
ESR1	CUX1
ESR1	RUVBL1
ESR1	ALPG
ESR1	GADD45G
ESR1	HSD11B1
ESR1	NR1I2
ESR1	RBL2
ESR1	U2SURP
ETV1	RPS6KA5
ETV1	EP300
ETV1	CUX1
FCF1	FOXA1
FCF1	C1D
FCF1	EXOSC10
FCF1	LEF1
FCF1	NOL12
FCF1	NOG
NTS	SULT1A4
NTS	TEF
NTS	NOG
NTS	ABCC2
SEPHS1	RPL5
SEPHS1	DCK
SEPHS1	INS
SEPHS1	THOC6
SEPHS1	SEC13
SEPHS1	PHKB
SEPHS1	ALPG
SEPHS1	PYCR2
SEPHS1	PDE1C
SEPHS1	SEC23A
SEPHS1	SERPINH1
CDK8	HAT1
CDK8	MAF
CDK8	NCOA3
CDK8	NOG
CDK8	SEC13
CDK8	HIST1H3G
CDK8	POLA2
CDK8	GABPA
CDK8	TBP
CDK8	ELOB
CDK8	HIST1H3J
CDK8	ESR2
CIAO1	POLA2
CIAO1	GABPA
CIAO1	GOLM1
CIAO1	CDC73
CIAO1	SEC23A
CIAO1	SERPINH1
CIAO1	CTR9
CACNA2D1	PLA2G1B
CACNA2D1	C5
DYNC1LI2	HTT
DYNC1LI2	DIAPH2
DYNC1LI2	CENPU
DYNC1LI2	CCNB1
DYNC1LI2	NUP85
DYNC1LI2	RACK1
DYNC1LI2	NMT1
SERPINH1	SEC23A
SERPINH1	DCAF7
SERPINH1	NOG
SERPINH1	ESR2
SERPINH1	ABCC2
SERPINH1	SEC13
SERPINH1	THOC6
SERPINH1	RPL5
TERT	TERF2
TERT	EGFR
TERT	CSF3
TERT	RUVBL1
TERT	ABCC1
TERT	SP1
MRPL28	MRPL38
MRPL28	HIST1H3J
MRPL28	MRPS17
MRPL28	MRPL4
MRPL28	MRM3
MRPL28	HIST1H3G
MRPL28	MRPL12
CCNB1	NUPL2
CCNB1	KIF2A
CCNB1	HIST1H4B
CCNB1	CENPU
CCNB1	VCP
CCNB1	SEC13
CCNB1	GADD45G
CCNB1	RANBP2
CCNB1	LMNB1
CCNB1	CBX4
CCNB1	SLCO1B3
CCNB1	HIST1H3G
CCNB1	SLCO5A1
CCNB1	NUP85
PYCR2	EGFR
PYCR2	NOG
PYCR2	TERF2
PYCR2	BAAT
PYCR2	DGAT1
PYCR2	ESR2
HTT	STIP1
HTT	INS
HTT	EP300
HTT	SP1
HTT	CASP8
HTT	CYP2D6
HTT	GADD45G
HTT	HIST1H3G
HTT	MAPK3
HSD11B1	POMC
HSD11B1	FSHB
HSD11B1	NOX5
HSD11B1	EP300
HSD11B1	INS
HSD11B1	EGFR
CDC73	UBA1
CDC73	VCP
CDC73	CPSF2
CDC73	CTR9
CDC73	GATA1
CDC73	RPL22
CDC73	SUV39H1
CDC73	HIST1H3G
CDC73	ELOB
CDC73	TFDP1
CDC73	RANBP2
CDC73	LEF1
CDC73	URI1
CDC73	HIST1H3D
CANX	RPL39
CANX	MRPL12
CANX	SEC23A
CANX	GUSB
CANX	SRPRA
CANX	VCP
CANX	GABPA
CANX	SP1
CANX	ARF6
CANX	MAPK3
CANX	ESR2
ATP1A4	FXYD1
KSR1	YWHAH
KSR1	ARAF
ALPG	SEC23A
ALPG	SEC13
ALPG	DGAT1
THOC6	NXT1
THOC6	CTNNBL1
THOC6	CWC22
SLC47A2	HBA1
SLC47A2	ESR2
SLC47A2	SP1
SLC47A2	INS
MRPL4	PTCD3
MRPL4	MRPL38
MRPL4	RPS2
MRPL4	MRPS23
MRPL4	MRPS17
MRPL4	ESR2
MRPL4	MRPS18C
FLRT3	FOXA1
FLRT3	STAT5A
TRIP4	TUBA4A
TRIP4	RPS2
TRIP4	RUVBL1
TRIP4	ESR2
TRIP4	RPL27A
TRIP4	TBP
TRIP4	EP300
TRIP4	KIF2A
TRIP4	RAVER1
CASP8AP2	TFDP1
CASP8AP2	SP1
INS	RPS2
INS	STIP1
INS	TRAPPC3
INS	UBA1
INS	FGF4
INS	ARAF
INS	GRM5
INS	STAT5A
INS	CTSL
INS	FOXA1
INS	SP1
INS	NR1I2
INS	ABCA1
INS	HAT1
INS	TULP4
INS	RPL5
INS	RPS6KA5
INS	EIF4G1
INS	ZNF384
INS	MECR
INS	EP300
INS	CASP8
INS	C5
INS	NOL11
INS	CYP1B1
INS	YWHAH
INS	ARF6
INS	ORC6
RAVER1	ABCC1
RAVER1	TERF2
RAVER1	ELK1
RAVER1	SP1
RAVER1	ESR2
KCNJ5	GABBR2
CUL4B	SUV39H1
CUL4B	HIST1H3G
CUL4B	EGFR
CUL4B	NXF1
CUL4B	KPNA2
CUL4B	NOG
CUL4B	TUBA4A
CUL4B	RUVBL1
CUL4B	CPSF2
CUL4B	HIST1H3J
CFD	NOG
CFD	RANBP2
CFD	CTSL
MRPL53	PTCD3
MRPL53	MRPL38
MRPL53	ELOB
MRPL53	MRPS23
MRPL53	MRPS17
MRPL53	MRPL18
MRPL53	MRPL12
MRPL53	MRPS18C
CUX1	DCX
CUX1	FGF4
CUX1	HIST1H3D
CUX1	ESR2
CUX1	CTSL
CUX1	OGG1
CUX1	IGKC
CUX1	IGHV3-33
CUX1	PIP4K2A
CUX1	NOG
NHLH2	LEF1
SLC35G3	DGAT1
SLC35G3	ACO2
KPNA2	LEF1
KPNA2	MDFI
KPNA2	NUP85
KPNA2	CSF3
KPNA2	RANBP2
KPNA2	NUPL2
NCOA3	IKBKG
NCOA3	AHSG
NCOA3	NOG
NCOA3	HIST1H4B
NCOA3	CYP24A1
NCOA3	MAPK3
NCOA3	IGKC
NCOA3	RANBP2
NCOA3	ABCC2
NCOA3	CYP2B6
NCOA3	HIST1H3G
NCOA3	NPAS2
EP300	SUV39H1
EP300	ESR2
EP300	ABCC2
EP300	CD40LG
EP300	TFDP1
EP300	MCM4
EP300	ACO2
EP300	NPAS2
EP300	LEF1
EP300	H2BFS
EP300	SP1
EP300	HMGN2
EP300	YAF2
EP300	MAF
EP300	CSF3
EP300	GATA1
EP300	HIST1H3G
EP300	GABPA
EP300	RUVBL1
EP300	GADD45G
EP300	FOXA1
TFDP1	TBP
TFDP1	ACO2
TFDP1	RBL2
TFDP1	HMGN2
TFDP1	SUV39H1
ST6GAL2	NOG
ST6GAL2	B4GALT2
HDAC6	NXF1
HDAC6	LEF1
HDAC6	ATP5F1A
HDAC6	VCP
HDAC6	HIST1H3G
HDAC6	POLA2
HDAC6	SP1
HDAC6	HIST1H3D
HDAC6	ESR2
HDAC6	STIP1
HDAC6	HIST1H4B
MRM3	EGFR
BHLHA15	NOL12
GUCY2D	TUBA4A
ABCC1	CTSL
ABCC1	STIP1
ABCC1	ABCC2
ABCC1	MDFI
ABCC1	CASP8
ABCC1	RUVBL1
ABCC1	ESR2
ABCC1	SLCO1B3
GADD45G	ARF6
GADD45G	GATA1
GADD45G	CDAN1
GADD45G	LMO2
GADD45G	NOG
CYP3A5	ATP5F1A
CYP3A5	CASP8
CYP3A5	LEF1
CYP3A5	ABCC2
MRPL38	MRPL18
MRPL38	ARF6
MRPL38	ESR2
MRPL38	MRPS23
SEC13	ARF6
SEC13	EGFR
SEC13	DIAPH2
SEC13	NUPL2
SEC13	HLA-E
SEC13	DCAF7
SEC13	RANBP2
SEC13	CPSF2
SEC13	GEMIN2
NUPL2	RANBP2
MRPL55	PTCD3
MRPL55	MRPL12
MRPL55	MRPS23
MRPL55	MRPS17
IL18RAP	LEF1
MRPS23	VCP
MRPS23	MRPL18
MRPS23	MRPS18C
MRPS23	MRPL12
MRPS23	HIST1H3G
EIF4G1	RPL27A
EIF4G1	GATA2
EIF4G1	RPL22
EIF4G1	RPL7A
EIF4G1	SP1
EIF4G1	MAPK3
EIF4G1	ESR2
DNASE2B	FOXA1
DNASE2B	STAT5A
DNASE2B	TRAPPC2B
TEF	HOXC4
RBL2	SUV39H1
RBL2	FSHB
RBL2	HIST1H3J
RBL2	LMNB1
RBL2	HIST1H3G
RBL2	MCM4
RBL2	HIST1H3D
FAM204A	NOG
USP9X	DCX
USP9X	SUV39H1
USP9X	TERF2
USP9X	IKBKG
USP9X	GEMIN2
E2F6	RPL39
LEF1	RBKS
LEF1	FOXA1
LEF1	HOXC4
LEF1	NOG
LEF1	HIST1H3J
LEF1	GOLM1
LEF1	LGALSL
LEF1	HIST1H3D
LEF1	KIF2A
LEF1	MAF
LEF1	ELK1
LEF1	CYP1B1
LEF1	HIST1H3G
LEF1	DCX
LEF1	NXF1
LEF1	STAT5A
LEF1	PIPOX
LEF1	YWHAH
LEF1	URI1
LEF1	FGF4
LEF1	HIST1H4B
LEF1	CDAN1
HIST1H4B	UCHL5
HIST1H4B	LMNB1
HIST1H4B	CBX4
HIST1H4B	CENPU
HIST1H4B	HOXC4
HIST1H4B	GATA1
HIST1H4B	HMGN2
HIST1H4B	ZC3H18
HIST1H4B	HIST1H3D
HIST1H4B	MAPK3
HIST1H4B	RPS6KA5
HIST1H4B	SEC23A
HIST1H4B	FOXA1
HIST1H4B	ESR2
