#tail	head
HERC2	UBE2I
IL13	IL6
IL13	CD59
IL13	GRM6
WNT6	SDC4
HIST1H4J	NPM1
HIST1H4J	TBL1XR1
HIST1H4J	AHCY
HIST1H4J	IL6
BTK	PDGFRB
BTK	SOS1
NME5	SLC38A3
TOM1L2	UBA2
AQP9	MCL1
UBE2I	SKI
UBE2I	MECOM
UBE2I	CSDE1
UBE2I	NCOR2
PTPRE	PDGFRB
PTPRE	AURKB
ATP1B3	SLC38A3
MECOM	MYH2
MECOM	SIRT1
MECOM	CACNA1D
MCL1	PTGDR
MCL1	AGO2
IQGAP2	CHUK
NPM1	IKBKE
NPM1	SDC4
DCTPP1	PIK3CA
DCTPP1	HLA-B
CHUK	IL6
LRPPRC	AURKA
LRPPRC	SDC4
RYR1	CACNA1D
RYR1	MYH3
RYR1	ESR2
AHCY	AGO2
SOS1	ESR2
SOS1	PDGFRB
ESR2	NCOR2
ESR2	SDC4
ESR2	AGO2
CD28	HLA-A
TSN	AGO2
SDC4	AURKA
CACNA1D	TPM4
PDGFRB	PIK3CA
COG2	GCC2
IL12A	IL6
IL12A	GSTA3
IL12A	SIRT1
TBL1XR1	NCOR2
NCOR2	AURKA
SIRT1	PIK3CA
CD59	SPTBN5
