H6PD	PGD
PGD	RPE
RPEL1	TKT
RBKS	TKTL1
FBP2	TKT
GPI	TALDO1
PFKP	TKT
ALDOA	PFKL
PGD	RPEL1
ALDOA	TKTL2
RPEL1	TKTL2
PGM2	RBKS
PFKP	TKTL2
PGM2	PRPS2
PGD	RPIA
ALDOB	FBP1
PFKM	TALDO1
PRPS1L1	TKTL1
ALDOC	FBP1
ALDOB	TKTL1
ALDOA	PFKM
ALDOC	TKTL1
ALDOA	TKT
RPE	TKTL1
ALDOB	FBP2
FBP1	TKT
ALDOC	FBP2
DERA	TKTL1
G6PD	PGLS
ALDOA	PFKP
PGM1	PRPS1L1
FBP2	TALDO1
PRPS1L1	TKT
PFKP	TALDO1
PGM2	PRPS1L1
PGM1	PRPS1
FBP1	TKTL2
ALDOB	DERA
PGM1	PRPS2
ALDOC	DERA
PFKL	TKTL1
PGM2	PRPS1
PGM1	TKTL1
PGM2	TKTL1
DERA	TKT
PRPS1	TKTL1
PFKM	TKTL1
PRPS1L1	TKTL2
RBKS	TKT
ALDOB	PFKL
PRPS2	TKTL1
ALDOC	PFKL
ALDOA	FBP1
RPE	TKTL2
TALDO1	TKTL1
DERA	TKTL2
PFKL	TKT
RBKS	TKTL2
FBP1	TALDO1
RPEL1	TKTL1
PRPS1	TKT
FBP2	TKTL1
PFKP	TKTL1
ALDOB	TKT
IDNK	RGN
ALDOC	TKT
PFKL	TKTL2
RPE	TKT
PGM2	TKTL2
ALDOA	DERA
PRPS1	TKTL2
PFKM	TKTL2
ALDOB	PFKP
ALDOB	TKTL2
PRPS2	TKTL2
ALDOC	PFKP
ALDOC	TKTL2
ALDOA	TKTL1
TALDO1	TKTL2
G6PD	GPI
PGM1	TKT
FBP1	TKTL1
ALDOA	FBP2
PGM2	TKT
PFKL	TALDO1
PFKM	TKT
FBP2	TKTL2
ALDOB	PFKM
PRPS2	TKT
ALDOC	PFKM
PGM1	TKTL2
DERA	RBKS
TALDO1	TKT
