BAG4	TNFRSF1A
NFKB1	NFKBIA
AKT3	PIK3CB
JUN	MAPK9
AKT2	PIK3CA
ITCH	MAPK9
ATF4	RPS6KA5
IKBKB	MAP3K7
FOS	MAPK9
DAB2IP	TNFRSF1B
AKT3	PIK3CD
CREB3L1	RPS6KA5
MAPK3	RPS6KA5
PIK3R2	TRAF2
AKT3	PIK3CA
MAP2K3	RIPK1
JUN	MAPK8
MAP2K3	MAPK13
CASP7	CASP8
ITCH	MAPK10
CEBPB	MAPK11
MAP2K6	MAPK12
MAPK1	RPS6KA4
CHUK	MAP3K14
FOS	MAPK8
CREB1	RPS6KA4
PIK3R3	TRAF2
MAP2K7	MAPK10
ATF6B	RPS6KA5
CEBPB	MAPK14
MAPK12	RPS6KA5
DNM1L	PGAM5
CREB3	RPS6KA5
MAPK14	RPS6KA5
AKT1	PIK3CB
RIPK1	RIPK3
IKBKB	NFKBIA
MLKL	PGAM5
MAP2K7	MAPK9
FADD	TRADD
CREB3L4	RPS6KA4
BIRC2	TRAF5
AKT1	PIK3CD
CHUK	NFKBIA
CREB3L3	RPS6KA5
AKT2	PIK3R1
AKT2	PIK3R3
PIK3R1	TRAF2
IKBKG	NFKBIA
AKT1	PIK3CA
MAPK13	RPS6KA5
ITCH	MAPK8
MAP2K1	MAP3K8
MAPK3	RPS6KA4
PIK3CD	TRAF2
CFLAR	ITCH
MAP2K7	MAP3K5
PIK3CA	TRAF2
CREB3L2	RPS6KA4
AKT3	PIK3R1
AKT3	PIK3R3
BIRC3	TRAF2
CREB5	RPS6KA5
MAP2K3	MAPK11
MAP2K7	MAP3K8
MAPK11	RPS6KA4
MAP2K3	MAPK14
MAPK12	RPS6KA4
PIK3CB	TRAF2
CASP10	CASP3
NFKBIA	RELA
MAPK1	RPS6KA5
MAP3K14	TRAF2
MAP2K4	MAPK10
ATF2	RPS6KA5
MAP2K6	MAPK13
AKT2	PIK3R2
ATF4	RPS6KA4
CEBPB	MAPK12
CREB3L3	RPS6KA4
CREB3L1	RPS6KA4
MAP2K6	MAPK11
MAP2K7	MAPK8
AKT3	PIK3R2
MAPK13	RPS6KA4
AKT1	PIK3R1
AKT1	PIK3R3
MAP2K6	MAPK14
MAP2K4	MAPK9
CREB3L4	RPS6KA5
ATF6B	RPS6KA4
CREB5	RPS6KA4
CEBPB	MAPK13
BIRC3	TRAF5
CREB3	RPS6KA4
MAPK14	RPS6KA4
MAP2K4	MAP3K5
MAP2K4	MAPK8
CREB3L2	RPS6KA5
CREB1	RPS6KA5
JUN	MAPK10
MAP2K4	MAP3K8
ATF2	RPS6KA4
AKT2	PIK3CB
MAPK11	RPS6KA5
FOS	MAPK10
IKBKG	RIPK1
MAP3K14	TRAF5
MAP2K3	MAPK12
AKT1	PIK3R2
BIRC2	TRAF2
AKT2	PIK3CD
