CDH1	CTNNB1
ACTG1	ARPC5
RAC1	WASF1
CDC42	PIK3CB
ARPC1B	WASF1
ARPC3	WASF1
ACTG1	ARPC2
FN1	ITGB1
ILK	ITGB1
CRKL	DOCK1
ACTB	RHOA
ACTB	ARPC1A
DOCK1	RAC1
GAB1	MET
ARPC2	WASF2
PTK2	SRC
ACTG1	ARPC3
CDC42	PIK3CD
ARHGEF26	RHOG
ARPC4	WASF2
CTTN	DNM3
CDC42	PIK3CA
ARPC1A	WASF2
ACTB	ARPC5
ACTG1	ARPC4
ARPC2	WASF1
ACTB	ARPC2
DNM2	HCLS1
CTTN	DNM1
DNM3	HCLS1
DOCK1	ELMO1
ARPC4	WASF1
ARPC1A	WASF1
ACTG1	ARPC1B
ACTG1	ARHGAP10
CDC42	PIK3R3
ACTG1	PXN
ACTB	ARPC3
ACTG1	ARPC5L
ACTG1	VCL
CRK	DOCK1
ACTB	ARPC4
DOCK1	ELMO2
ARPC5	WASF2
CDC42	WASL
ARPC5L	WASF2
ARPC1B	WASF2
ACTB	ARPC1B
DNM1	HCLS1
CDC42	PIK3R1
CTTN	DNM2
ACTG1	ARPC1A
ARPC3	WASF2
ACTB	ARHGAP10
RAC1	WASF2
ACTB	PXN
ARPC5	WASF1
ACTG1	RHOA
DOCK1	ELMO3
ARPC5L	WASF1
ACTB	ARPC5L
ACTB	VCL
BCAR1	PXN
CDC42	PIK3R2
FN1	ITGA5
ILK	ITGA5
