EIF4EBP1	MTOR
CALML4	PPP1R3C
GRB2	IRS2
CALML3	PYGM
CALM3	PPP1CC
IRS4	PIK3CD
IRS1	PIK3R1
HRAS	SOS2
PHKB	PPP1R3A
NRAS	RAF1
PHKG2	PPP1R3F
AKT2	PDE3B
CALML3	PYGB
IRS2	MAPK9
AKT2	PPP1R3E
PHKA2	PPP1R3F
ACACA	PRKAG2
CALM1	PPP1CB
KRAS	SOS1
AKT3	PPP1R3F
EIF4E2	MKNK1
AKT3	PDPK1
CALML3	PPP1R3D
MAP2K2	MAPK3
CALML4	PPP1CA
CALML5	PPP1R3E
AKT2	PPP1R3D
FLOT2	SORBS1
IRS2	PIK3R2
ARAF	KRAS
IRS1	MAPK10
GRB2	SOS1
ACACA	PRKAA1
GYS2	PPP1R3A
PHKG2	PPP1CB
GYS1	PPP1R3A
KRAS	RAF1
IRS2	PIK3CB
BRAF	MAP2K1
ACACA	PRKAA2
MAPK1	MKNK1
GRB2	SHC2
PDPK1	RPS6KB2
IRS4	PIK3R1
PHKA2	PPP1CB
CALM2	PPP1CC
CALM3	PPP1CB
CALML5	PYGL
PHKG1	PPP1R3B
AKT2	PPP1R3C
AKT3	PPP1CB
IRS2	PIK3CA
CALM1	PYGL
GSK3B	GYS1
GRB2	SHC1
PTPRF	SHC4
AKT1	PDPK1
CALML5	PPP1R3C
IRS1	MAPK8
HK1	SREBF1
RPS6	RPS6KB2
EIF4E2	MKNK2
PDPK1	PIK3R3
CALML4	PPP1R3F
IRS4	MAPK10
IKBKB	IRS4
PHKA1	PYGM
AKT1	PPP1CB
MAPK1	MKNK2
PTPRF	SHC2
GCK	SREBF1
HK3	SREBF1
PHKG2	PPP1R3A
AKT2	BAD
IRS1	PTPRF
INSR	SH2B2
PTPRF	SHC1
CALML4	PPP1CB
TSC1	TSC2
PDPK1	PIK3R2
CALML5	PPP1CA
SLC2A4	TRIP10
PHKA2	PPP1R3A
ACACB	PRKAB1
PHKA1	PYGB
PHKA1	PPP1R3E
CALML3	PPP1CC
IRS4	MAPK8
CALM1	PPP1CA
HRAS	SOS1
AKT2	PPP1CC
CALM2	PPP1R3E
CALML6	PYGB
CALML6	PPP1R3E
CALM1	PPP1R3B
PHKA1	PPP1R3D
PHKB	PYGM
CBL	RAPGEF1
PHKG1	PYGM
ACACB	PRKAB2
IRS1	PIK3R3
CALML6	PPP1R3D
CALM2	PYGL
PIK3CB	PRKCZ
CALM3	PPP1CA
PHKG2	PPP1R3B
HKDC1	SREBF1
AKT3	PPP1CA
PHKA1	PPP1R3C
GRB2	IRS1
IRS4	PTPRF
AKT2	PDPK1
PHKA2	PPP1R3B
CALM3	PPP1R3B
CALM2	PPP1R3C
IRS1	MAPK9
PHKB	PYGB
PHKB	PPP1R3E
ARAF	MAP2K2
PIK3R1	PRKCI
AKT3	PPP1R3B
CALML6	PPP1R3C
CALML5	PPP1R3F
PHKG1	PYGB
CALM1	PPP1R3F
PHKB	PPP1R3D
PDPK1	PRKCZ
IRS1	PIK3R2
BRAF	KRAS
ACACA	PRKAG3
AKT2	PPP1CB
AKT1	PPP1CA
ACACA	SREBF1
LIPE	PRKACB
PHKG1	PPP1R3A
IRS4	PIK3R3
CALML3	PPP1R3E
IRS2	PIK3CD
GYS2	PPP1R3E
PHKB	PPP1R3C
MAP2K1	RAF1
GYS1	PPP1R3E
CALML5	PPP1CB
AKT1	PPP1R3B
CALM3	PPP1R3F
IKBKB	IRS2
CALM2	PPP1CA
GYS2	PPP1R3D
GYS1	PPP1R3D
CALML3	PYGL
CALML4	PPP1R3B
GRB2	SHC3
CALM1	PYGM
PIK3R2	PRKCZ
PHKA1	PPP1CC
CALML3	PPP1R3C
GYS2	PPP1R3C
PIK3R3	PRKCZ
CALML6	PPP1CC
PHKG2	PYGM
ACACB	PRKAG1
AKT1	PPP1R3F
AKT3	GSK3B
IRS2	PIK3R1
PHKA2	PYGM
AKT3	SLC2A4
CALM3	PYGM
IRS1	PTPN1
MAP2K1	MAPK1
LIPE	PRKACG
ELK1	MAPK1
MAPK3	MKNK1
CALM2	PPP1R3F
PHKG2	PYGB
NRAS	SOS2
CALML5	PPP1R3A
PIK3CD	PRKCZ
PHKB	PPP1CC
CALM1	PPP1R3A
PTPRF	SHC3
PIK3CA	PRKCZ
PHKA2	PYGB
PHKG1	PPP1CC
CALM3	PYGB
CALML3	PPP1CA
PHKG2	PPP1R3D
AKT1	GSK3B
AKT2	PPP1CA
IRS2	MAPK10
AKT1	SLC2A4
ARAF	NRAS
ARAF	HRAS
PHKA2	PPP1R3D
CALM2	PPP1CB
AKT2	PPP1R3B
CALML6	PPP1CB
EIF4E1B	MKNK1
CALM3	PPP1R3A
GSK3B	GYS2
IRS4	PTPN1
GYS2	PPP1CC
PDPK1	PIK3CB
AKT3	PPP1R3A
GYS1	PPP1CC
RPS6	RPS6KB1
