CCND1	RB1
AKT1	PIK3R3
AKT1	CHUK
AKT3	PIK3R1
IKBKB	NFKBIA
AKT2	PIK3R3
IKBKG	NFKBIA
AKT3	PIK3R2
AKT2	CHUK
AKT3	IKBKB
MAX	ZBTB17
AKT1	PIK3R1
AKT3	PIK3CB
NFKBIA	RELA
BAX	BCL2
AKT1	PIK3R2
PIK3CD	PTK2
ITGB1	PTK2
AKT1	IKBKB
AKT2	PIK3R1
AKT3	PIK3CD
CKS1B	SKP2
AKT1	PIK3CB
AKT2	PIK3R2
AKT3	PIK3CA
MYC	ZBTB17
AKT3	IKBKG
PIK3R2	PTK2
PIK3CB	PTK2
AKT2	IKBKB
CDK2	CDKN1B
AKT1	PIK3CD
PIK3R3	PTK2
AKT1	PIK3CA
AKT2	PIK3CB
CHUK	NFKBIA
AKT1	IKBKG
MAX	MYC
PIK3R1	PTK2
AKT3	PIK3R3
PIK3CA	PTK2
CKS2	SKP2
NFKB1	NFKBIA
AKT2	PIK3CD
AKT3	CHUK
AKT2	PIK3CA
AKT2	IKBKG
