pathway	netpath	pid	panther	inoh	kegg_expanded	kegg_collapsed
NAME	NaN	pid/Circadian_rhythm_pathway.txt	panther/Circadian_clock_system.txt	NaN	kegg_expanded/Circadian_rhythm.txt	kegg_collapsed/Circadian_rhythm.txt
NAME	NaN	pid/Caspase_Cascade_in_Apoptosis.txt	panther/Apoptosis_signaling_pathway.txt	NaN	kegg_expanded/Apoptosis.txt	kegg_collapsed/Apoptosis.txt
NAME	NaN	pid/Insulin_Pathway.txt	NaN	inoh/Insulin_receptor_signaling_~_Insulin_receptor_signaling_~.txt	kegg_expanded/Insulin_signaling_pathway.txt	kegg_collapsed/Insulin_signaling_pathway.txt
NAME	NaN	pid/Signaling_events_mediated_by_Hepatocyte_Growth_Factor_Receptor_~c-Met~.txt	panther/Heterotrimeric_G-protein_signaling_pathway-Gq_alpha_and_Go_alpha_mediated_pathway.txt	inoh/Heterotrimeric_GPCR_signaling_pathway_~through_G_alpha_q,_PLC_beta_and_ERK_cascade~_~_GPCR_signaling_~G_alpha_q~_~.txt	NaN	NaN
NAME	NaN	pid/p53_pathway.txt	panther/p53_pathway.txt	NaN	kegg_expanded/p53_signaling_pathway.txt	kegg_collapsed/p53_signaling_pathway.txt
NAME	NaN	pid/FoxO_family_signaling.txt	NaN	inoh/Negative_regulation_of_~nuclear_import_of_R-smad:smad4~_in_TGF_beta_super_family_signaling_pathway_~_TGF-beta_super_family_signaling_pathway~canonical~_~.txt	kegg_expanded/FoxO_signaling_pathway.txt	kegg_collapsed/FoxO_signaling_pathway.txt
NAME	NaN	pid/FGF_signaling_pathway.txt	panther/FGF_signaling_pathway.txt	inoh/FGF_signaling_pathway_~_FGF_signaling_pathway_~.txt	NaN	NaN
NAME	NaN	pid/PDGF_receptor_signaling_network.txt	panther/PDGF_signaling_pathway.txt	inoh/PDGF_signaling_pathway_~_PDGF_signaling_pathway_~.txt	NaN	NaN
NAME	NaN	pid/Ephrin_B_reverse_signaling.txt	panther/Insulin-IGF_pathway-protein_kinase_B_signaling_cascade.txt	NaN	kegg_expanded/Hepatitis_B.txt	kegg_collapsed/Hepatitis_B.txt
NAME	NaN	NaN	panther/B_cell_activation.txt	inoh/B_cell_receptor_signaling_pathway_~_B_cell_receptor_signaling_~.txt	kegg_expanded/B_cell_receptor_signaling_pathway.txt	kegg_collapsed/B_cell_receptor_signaling_pathway.txt
NAME	NaN	pid/TGF-beta_receptor_signaling.txt	panther/TGF-beta_signaling_pathway.txt	inoh/TGF_beta_signaling_pathway~through_TAK1~_~_TGF-beta_signaling~through_TAK1~_~.txt	kegg_expanded/TGF-beta_signaling_pathway.txt	kegg_collapsed/TGF-beta_signaling_pathway.txt
NAME	NaN	pid/a6b1_and_a6b4_Integrin_signaling.txt|pid/Integrin_family_cell_surface_interactions.txt	panther/Integrin_signalling_pathway.txt	inoh/Integrin_signaling_pathway_~_Integrin_signaling_pathway_~.txt	NaN	NaN
NAME	NaN	pid/VEGF_and_VEGFR_signaling_network.txt	panther/VEGF_signaling_pathway.txt	inoh/VEGF_signaling_pathway_~_VEGF_signaling_pathway_~.txt	kegg_expanded/VEGF_signaling_pathway.txt	kegg_collapsed/VEGF_signaling_pathway.txt
NAME	netpath/IL2.txt	pid/IL2_signaling_events_mediated_by_STAT5.txt|pid/IL2_signaling_events_mediated_by_PI3K.txt	NaN	inoh/IL-2_signaling_pathway~JAK1_JAK3_STAT5~_~_IL-2_signaling~JAK1_JAK3_STAT5~_~.txt	NaN	NaN
NAME	NaN	NaN	panther/JAK-STAT_signaling_pathway.txt	inoh/Positive_regulation_of_~Transcription_of_SOCS_by_STAT_dimer~_in_JAK_STAT_pathway_~_JAK-STAT_pathway_and_regulation_pathway_Diagram_~.txt|inoh/JAK-STAT_pathway_and_regulation_pathway_~_JAK-STAT_pathway_and_regulation_pathway_Diagram_~.txt	kegg_expanded/JAK-STAT_signaling_pathway.txt	kegg_collapsed/JAK-STAT_signaling_pathway.txt
NAME	netpath/Hedgehog.txt	pid/Hedgehog_signaling_events_mediated_by_Gli_proteins.txt	panther/Hedgehog_signaling_pathway.txt	inoh/Ci-Gli_processing_signaling_~_Hedgehog_signaling_pathway_~.txt	kegg_expanded/Hedgehog_signaling_pathway.txt	kegg_collapsed/Hedgehog_signaling_pathway.txt
NAME	NaN	pid/Fc-epsilon_receptor_I_signaling_in_mast_cells.txt	panther/Heterotrimeric_G-protein_signaling_pathway-Gi_alpha_and_Gs_alpha_mediated_pathway.txt|panther/Metabotropic_glutamate_receptor_group_I_pathway.txt	inoh/Heterotrimeric_GPCR_signaling_pathway_~through_G_alpha_i_and_pertussis_toxin~_~_GPCR_signaling_~pertussis_toxin~_~.txt	kegg_expanded/Pertussis.txt	kegg_collapsed/Pertussis.txt
NAME	netpath/Notch.txt	pid/Notch_signaling_pathway.txt	panther/Notch_signaling_pathway.txt	inoh/Canonical_Notch_signaling_pathway_~_Notch_signaling_pathway_Diagram_~.txt	kegg_expanded/Notch_signaling_pathway.txt	kegg_collapsed/Notch_signaling_pathway.txt
NAME	netpath/TNFalpha.txt	pid/FAS_~CD95~_signaling_pathway.txt|pid/HIV-1_Nef:_Negative_effector_of_Fas_and_TNF-alpha.txt	panther/FAS_signaling_pathway.txt	inoh/Fas_signaling_pathway_~_Fas_signaling_pathway_~.txt	NaN	NaN
NAME	NaN	pid/Regulation_of_Ras_family_activation.txt|pid/Ras_signaling_in_the_CD4+_TCR_pathway.txt	panther/Ras_Pathway.txt	inoh/ERK_cascade_~_CD4_T_cell_receptor_signaling_~ERK_cascade~_~.txt	kegg_expanded/Ras_signaling_pathway.txt	kegg_collapsed/Ras_signaling_pathway.txt
NAME	netpath/TCR.txt	pid/TCR_signaling_in_naïve_CD4+_T_cells.txt	panther/T_cell_activation.txt	inoh/T_cell_receptor_signaling_pathway_~_CD4_T_cell_receptor_signaling_~.txt|inoh/CD28_signaling_~_CD4_T_cell_receptor_signaling_~NF-kB_cascade~_~.txt	kegg_expanded/T_cell_receptor_signaling_pathway.txt	kegg_collapsed/T_cell_receptor_signaling_pathway.txt
