#pathway	netpath	pid	panther	inoh	kegg_expanded	kegg_collapsed
Circadian	NaN	pid/Circadian_rhythm_pathway.txt	panther/Circadian_clock_system.txt	NaN	kegg_expanded/Circadian_rhythm.txt	kegg_collapsed/Circadian_rhythm.txt
Apoptosis	NaN	pid/Caspase_Cascade_in_Apoptosis.txt	panther/Apoptosis_signaling_pathway.txt	NaN	kegg_expanded/Apoptosis.txt	kegg_collapsed/Apoptosis.txt
Insulin-Receptor	NaN	pid/Insulin_Pathway.txt	NaN	inoh/Insulin_receptor_signaling_~_Insulin_receptor_signaling_~.txt	kegg_expanded/Insulin_signaling_pathway.txt	kegg_collapsed/Insulin_signaling_pathway.txt
p53	NaN	pid/p53_pathway.txt	panther/p53_pathway.txt	NaN	kegg_expanded/p53_signaling_pathway.txt	kegg_collapsed/p53_signaling_pathway.txt
Fox0	NaN	pid/FoxO_family_signaling.txt	NaN	inoh/Negative_regulation_of_~nuclear_import_of_R-smad:smad4~_in_TGF_beta_super_family_signaling_pathway_~_TGF-beta_super_family_signaling_pathway~canonical~_~.txt	kegg_expanded/FoxO_signaling_pathway.txt	kegg_collapsed/FoxO_signaling_pathway.txt
FGF	NaN	pid/FGF_signaling_pathway.txt	panther/FGF_signaling_pathway.txt	inoh/FGF_signaling_pathway_~_FGF_signaling_pathway_~.txt	NaN	NaN
PDGF	NaN	pid/PDGF_receptor_signaling_network.txt	panther/PDGF_signaling_pathway.txt	inoh/PDGF_signaling_pathway_~_PDGF_signaling_pathway_~.txt	NaN	NaN
BCR	netpath/BCR.txt	pid/BCR_signaling_pathway.txt	panther/B_cell_activation.txt	inoh/B_cell_receptor_signaling_pathway_~_B_cell_receptor_signaling_~.txt	kegg_expanded/B_cell_receptor_signaling_pathway.txt	kegg_collapsed/B_cell_receptor_signaling_pathway.txt
TGFbeta	netpath/TGFbetaReceptor.txt	pid/TGF-beta_receptor_signaling.txt	panther/TGF-beta_signaling_pathway.txt	inoh/TGF_beta_signaling_pathway~through_TAK1~_~_TGF-beta_signaling~through_TAK1~_~.txt	kegg_expanded/TGF-beta_signaling_pathway.txt	kegg_collapsed/TGF-beta_signaling_pathway.txt
Integrin	NaN	pid/a6b1_and_a6b4_Integrin_signaling.txt	panther/Integrin_signalling_pathway.txt	inoh/Integrin_signaling_pathway_~_Integrin_signaling_pathway_~.txt	NaN	NaN
VEGF	NaN	pid/VEGF_and_VEGFR_signaling_network.txt	panther/VEGF_signaling_pathway.txt	inoh/VEGF_signaling_pathway_~_VEGF_signaling_pathway_~.txt	kegg_expanded/VEGF_signaling_pathway.txt	kegg_collapsed/VEGF_signaling_pathway.txt
IL2	netpath/IL2.txt	pid/IL2_signaling_events_mediated_by_STAT5.txt	NaN	inoh/IL-2_signaling_pathway~JAK1_JAK3_STAT5~_~_IL-2_signaling~JAK1_JAK3_STAT5~_~.txt	NaN	NaN
JAK-STAT	NaN	NaN	panther/JAK-STAT_signaling_pathway.txt	inoh/JAK-STAT_pathway_and_regulation_pathway_~_JAK-STAT_pathway_and_regulation_pathway_Diagram_~.txt	kegg_expanded/JAK-STAT_signaling_pathway.txt	kegg_collapsed/JAK-STAT_signaling_pathway.txt
Hedgehog	netpath/Hedgehog.txt	pid/Hedgehog_signaling_events_mediated_by_Gli_proteins.txt	panther/Hedgehog_signaling_pathway.txt	inoh/Ci-Gli_processing_signaling_~_Hedgehog_signaling_pathway_~.txt	kegg_expanded/Hedgehog_signaling_pathway.txt	kegg_collapsed/Hedgehog_signaling_pathway.txt
Notch	netpath/Notch.txt	pid/Notch_signaling_pathway.txt	panther/Notch_signaling_pathway.txt	inoh/Canonical_Notch_signaling_pathway_~_Notch_signaling_pathway_Diagram_~.txt	kegg_expanded/Notch_signaling_pathway.txt	kegg_collapsed/Notch_signaling_pathway.txt
FAS	netpath/TNFalpha.txt	pid/FAS_~CD95~_signaling_pathway.txt	panther/FAS_signaling_pathway.txt	inoh/Fas_signaling_pathway_~_Fas_signaling_pathway_~.txt	NaN	NaN
Ras	NaN	pid/Ras_signaling_in_the_CD4+_TCR_pathway.txt	panther/Ras_Pathway.txt	inoh/ERK_cascade_~_CD4_T_cell_receptor_signaling_~ERK_cascade~_~.txt	kegg_expanded/Ras_signaling_pathway.txt	kegg_collapsed/Ras_signaling_pathway.txt
TCR	netpath/TCR.txt	pid/TCR_signaling_in_naïve_CD4+_T_cells.txt	panther/T_cell_activation.txt	inoh/T_cell_receptor_signaling_pathway_~_CD4_T_cell_receptor_signaling_~.txt	kegg_expanded/T_cell_receptor_signaling_pathway.txt	kegg_collapsed/T_cell_receptor_signaling_pathway.txt
p38	NaN	pid/p38_MAPK_signaling_pathway.txt	panther/p38_MAPK_pathway.txt	inoh/p38_cascade_~_IL-1_signaling_pathway_~through_p38_cascade~_~.txt	kegg_expanded/MAPK_signaling_pathway.txt	kegg_collapsed/MAPK_signaling_pathway.txt
Wnt	netpath/Wnt.txt	pid/Wnt_signaling_network.txt	panther/Wnt_signaling_pathway.txt	inoh/Signaling_with_Wnt_~Canonical~_~_Canonical_Wnt_signaling_pathway_Diagram_~.txt	kegg_expanded/Wnt_signaling_pathway.txt	kegg_collapsed/Wnt_signaling_pathway.txt
