#pathway	netpath	pid	panther	inoh	pathbank	signor_expanded	kegg_expanded	signor_collapsed	kegg_collapsed
NFkappaB	NaN	pid/Canonical_NF-kappaB_pathway.txt	NaN	inoh/NF-kB_signaling_~_IL-1_signaling_pathway_~through_NF-kappaB~_~.txt	pathbank/NF-kB_Signaling_Pathway.txt	signor_expanded/NF-KB_Canonical.txt	NaN	signor_collapsed/NF-KB_Canonical.txt	NaN
p53	NaN	pid/p53_pathway.txt	panther/p53_pathway.txt	NaN	pathbank/P53_Signaling_Pathway.txt	NaN	kegg_expanded/p53_signaling_pathway.txt	NaN	kegg_collapsed/p53_signaling_pathway.txt
Insulin	NaN	pid/Insulin_Pathway.txt	NaN	inoh/Insulin_receptor_signaling_~_Insulin_receptor_signaling_~.txt	pathbank/Insulin_Signalling.txt	signor_expanded/Insulin_Signaling.txt	kegg_expanded/Insulin_signaling_pathway.txt	signor_collapsed/Insulin_Signaling.txt	kegg_collapsed/Insulin_signaling_pathway.txt
TGFbeta	netpath/TGFbetaReceptor.txt	pid/TGF-beta_receptor_signaling.txt	panther/TGF-beta_signaling_pathway.txt	inoh/TGF_beta_signaling_pathway~through_TAK1~_~_TGF-beta_signaling~through_TAK1~_~.txt	NaN	signor_expanded/TGF-beta_Signaling.txt	kegg_expanded/TGF-beta_signaling_pathway.txt	signor_collapsed/TGF-beta_Signaling.txt	kegg_collapsed/TGF-beta_signaling_pathway.txt
VEGF	NaN	pid/VEGF_and_VEGFR_signaling_network.txt	panther/VEGF_signaling_pathway.txt	inoh/VEGF_signaling_pathway_~_VEGF_signaling_pathway_~.txt	NaN	signor_expanded/VEGF_Signaling.txt	kegg_expanded/VEGF_signaling_pathway.txt	signor_collapsed/VEGF_Signaling.txt	kegg_collapsed/VEGF_signaling_pathway.txt
Integrin	NaN	pid/a6b1_and_a6b4_Integrin_signaling.txt	panther/Integrin_signalling_pathway.txt	inoh/Integrin_signaling_pathway_~_Integrin_signaling_pathway_~.txt	NaN	signor_expanded/Integrin_Signaling.txt	NaN	signor_collapsed/Integrin_Signaling.txt	NaN
Apoptosis	NaN	pid/Caspase_Cascade_in_Apoptosis.txt	panther/Apoptosis_signaling_pathway.txt	NaN	NaN	signor_expanded/Inhibition_of_Apoptosis.txt	kegg_expanded/Apoptosis.txt	signor_collapsed/Inhibition_of_Apoptosis.txt	kegg_collapsed/Apoptosis.txt
GPCR	NaN	pid/Signaling_events_mediated_by_Hepatocyte_Growth_Factor_Receptor_~c-Met~.txt	panther/Heterotrimeric_G-protein_signaling_pathway-Gq_alpha_and_Go_alpha_mediated_pathway.txt	inoh/Heterotrimeric_GPCR_signaling_pathway_~through_G_alpha_q,_PLC_beta_and_ERK_cascade~_~_GPCR_signaling_~G_alpha_q~_~.txt	pathbank/G-Protein_Signaling_Through_Tubby_Proteins.txt	NaN	NaN	NaN	NaN
Notch	netpath/Notch.txt	pid/Notch_signaling_pathway.txt	panther/Notch_signaling_pathway.txt	inoh/Canonical_Notch_signaling_pathway_~_Notch_signaling_pathway_Diagram_~.txt	NaN	signor_expanded/NOTCH_Signaling.txt	kegg_expanded/Notch_signaling_pathway.txt	signor_collapsed/NOTCH_Signaling.txt	kegg_collapsed/Notch_signaling_pathway.txt
Ras	NaN	pid/Ras_signaling_in_the_CD4+_TCR_pathway.txt	panther/Ras_Pathway.txt	inoh/ERK_cascade_~_CD4_T_cell_receptor_signaling_~ERK_cascade~_~.txt	pathbank/Ras_Signaling_Pathway.txt	NaN	kegg_expanded/Ras_signaling_pathway.txt	NaN	kegg_collapsed/Ras_signaling_pathway.txt
