#node1	node2	edge_expansion:relation_type
O15055	O00327	one_to_one_mapping:inhibition
O43741	Q16526	mult_mapping_expansion:activation|phosphorylation
O43741	Q49AN0	mult_mapping_expansion:activation|phosphorylation
P48730	O15055	mult_mapping_expansion:activation|phosphorylation
P48730	O15534	mult_mapping_expansion:activation|phosphorylation
P48730	P56645	mult_mapping_expansion:activation|phosphorylation
P49674	O15055	mult_mapping_expansion:activation|phosphorylation
P49674	O15534	mult_mapping_expansion:activation|phosphorylation
P49674	P56645	mult_mapping_expansion:activation|phosphorylation
P54619	Q16526	mult_mapping_expansion:activation|phosphorylation
P54619	Q49AN0	mult_mapping_expansion:activation|phosphorylation
P54646	Q16526	mult_mapping_expansion:activation|phosphorylation
P54646	Q49AN0	mult_mapping_expansion:activation|phosphorylation
Q13131	Q16526	mult_mapping_expansion:activation|phosphorylation
Q13131	Q49AN0	mult_mapping_expansion:activation|phosphorylation
Q9UGI9	Q16526	mult_mapping_expansion:activation|phosphorylation
Q9UGI9	Q49AN0	mult_mapping_expansion:activation|phosphorylation
Q9UGJ0	Q16526	mult_mapping_expansion:activation|phosphorylation
Q9UGJ0	Q49AN0	mult_mapping_expansion:activation|phosphorylation
Q9UKT7	Q16526	mult_mapping_expansion:inhibition|ubiquitination
Q9UKT7	Q49AN0	mult_mapping_expansion:inhibition|ubiquitination
Q9Y478	Q16526	mult_mapping_expansion:activation|phosphorylation
Q9Y478	Q49AN0	mult_mapping_expansion:activation|phosphorylation
