#node1	node2	edge_expansion:relation_type
O00300	O14788	one_to_one_mapping:inhibition
O00329	P31749	mult_mapping_expansion:activation|indirect effect
O00329	P31751	mult_mapping_expansion:activation|indirect effect
O00329	Q9Y243	mult_mapping_expansion:activation|indirect effect
O00459	P31749	mult_mapping_expansion:activation|indirect effect
O00459	P31751	mult_mapping_expansion:activation|indirect effect
O00459	Q9Y243	mult_mapping_expansion:activation|indirect effect
O14543	P23458	mult_mapping_expansion:binding/association
O14543	P29597	mult_mapping_expansion:binding/association
O14733	P45983	mult_mapping_expansion:activation|phosphorylation
O14733	P45984	mult_mapping_expansion:activation|phosphorylation
O14733	P53779	mult_mapping_expansion:activation|phosphorylation
O14920	P25963	one_to_one_mapping:activation|phosphorylation
O15111	Q00653	mult_mapping_expansion:activation|phosphorylation
O15111	Q01201	mult_mapping_expansion:activation|phosphorylation
O15264	P01100	mult_mapping_expansion:activation|phosphorylation
O15264	P05412	mult_mapping_expansion:activation|phosphorylation
O15264	P15407	mult_mapping_expansion:activation|phosphorylation
O15264	P15408	mult_mapping_expansion:activation|phosphorylation
O15264	P17275	mult_mapping_expansion:activation|phosphorylation
O15264	P17535	mult_mapping_expansion:activation|phosphorylation
O15264	P53539	mult_mapping_expansion:activation|phosphorylation
O15524	P23458	mult_mapping_expansion:binding/association
O15524	P29597	mult_mapping_expansion:binding/association
O43318	Q02750	one_to_one_mapping:activation|indirect effect|phosphorylation
O43914	P43405	one_to_one_mapping:binding/association
P01137	P36897	mult_mapping_expansion:activation
P01137	P37173	mult_mapping_expansion:activation
P01375	P19438	one_to_one_mapping:activation
P01574	P17181	mult_mapping_expansion:activation
P01574	P48551	mult_mapping_expansion:activation
P01579	P15260	mult_mapping_expansion:activation
P01579	P38484	mult_mapping_expansion:activation
P01583	P14778	mult_mapping_expansion:activation
P01584	P14778	mult_mapping_expansion:activation
P06239	O00329	mult_mapping_expansion:activation|indirect effect
P06239	O00459	mult_mapping_expansion:activation|indirect effect
P06239	P27986	mult_mapping_expansion:activation|indirect effect
P06239	P42336	mult_mapping_expansion:activation|indirect effect
P06239	P42338	mult_mapping_expansion:activation|indirect effect
P06239	Q12933	mult_mapping_expansion:binding/association
P06239	Q92569	mult_mapping_expansion:activation|indirect effect
P06239	Q9Y4K3	mult_mapping_expansion:binding/association
P06241	O00329	mult_mapping_expansion:activation|indirect effect
P06241	O00459	mult_mapping_expansion:activation|indirect effect
P06241	P27986	mult_mapping_expansion:activation|indirect effect
P06241	P42336	mult_mapping_expansion:activation|indirect effect
P06241	P42338	mult_mapping_expansion:activation|indirect effect
P06241	Q12933	mult_mapping_expansion:binding/association
P06241	Q92569	mult_mapping_expansion:activation|indirect effect
P06241	Q9Y4K3	mult_mapping_expansion:binding/association
P09603	P07333	one_to_one_mapping:activation
P14778	Q12933	mult_mapping_expansion:activation|indirect effect
P14778	Q9Y4K3	mult_mapping_expansion:activation|indirect effect
P15260	P42224	mult_mapping_expansion:activation|indirect effect
P16298	O95644	mult_mapping_expansion:activation|dephosphorylation
P16885	Q9UQC2	one_to_one_mapping:binding/association
P17181	P23458	mult_mapping_expansion:binding/association
P17181	P29597	mult_mapping_expansion:binding/association
P19438	Q12933	mult_mapping_expansion:activation
P19438	Q9Y4K3	mult_mapping_expansion:activation
P19838	P25963	mult_mapping_expansion:dissociation
P23458	O14543	mult_mapping_expansion:binding/association
P23458	O15524	mult_mapping_expansion:binding/association
P23458	P17181	mult_mapping_expansion:binding/association
P23458	P42224	mult_mapping_expansion:activation|phosphorylation
P23458	P48551	mult_mapping_expansion:binding/association
P23458	P52630	mult_mapping_expansion:activation|phosphorylation
P25963	P19838	mult_mapping_expansion:dissociation
P25963	Q04206	mult_mapping_expansion:dissociation
P27986	P31749	mult_mapping_expansion:activation|indirect effect
P27986	P31751	mult_mapping_expansion:activation|indirect effect
P27986	Q9Y243	mult_mapping_expansion:activation|indirect effect
P29597	O14543	mult_mapping_expansion:binding/association
P29597	O15524	mult_mapping_expansion:binding/association
P29597	P17181	mult_mapping_expansion:binding/association
P29597	P42224	mult_mapping_expansion:activation|phosphorylation
P29597	P48551	mult_mapping_expansion:binding/association
P29597	P52630	mult_mapping_expansion:activation|phosphorylation
P38484	P42224	mult_mapping_expansion:activation|indirect effect
P42224	Q12933	mult_mapping_expansion:indirect effect|inhibition
