#node1	node2	edge_expansion:relation_type
O00206	Q86XR7	one_to_one_mapping:activation
O00220	Q13546	mult_mapping_expansion:activation
O14763	Q13546	mult_mapping_expansion:activation
O15455	Q8IUC6	one_to_one_mapping:activation
O15519	Q14790	one_to_one_mapping:inhibition
O43633	Q8NB16	mult_mapping_expansion:binding/association
O60674	P40763	mult_mapping_expansion:activation
O60674	P42224	mult_mapping_expansion:activation
O60674	P42226	mult_mapping_expansion:activation
O60674	P42229	mult_mapping_expansion:activation
O60674	P51692	mult_mapping_expansion:activation
O60674	P52630	mult_mapping_expansion:activation
O60674	Q14765	mult_mapping_expansion:activation
O75351	Q8NB16	mult_mapping_expansion:binding/association
O75367	O95831	mult_mapping_expansion:binding/association
O75367	P62937	mult_mapping_expansion:binding/association
O95831	O75367	mult_mapping_expansion:binding/association
O95831	P04908	mult_mapping_expansion:binding/association
O95831	P0C0S5	mult_mapping_expansion:binding/association
O95831	P0C0S8	mult_mapping_expansion:binding/association
O95831	P0C5Y9	mult_mapping_expansion:binding/association
O95831	P0C5Z0	mult_mapping_expansion:binding/association
O95831	P16104	mult_mapping_expansion:binding/association
O95831	P20671	mult_mapping_expansion:binding/association
O95831	P62937	group_expansion
O95831	Q16777	mult_mapping_expansion:binding/association
O95831	Q6FI13	mult_mapping_expansion:binding/association
O95831	Q71UI9	mult_mapping_expansion:binding/association
O95831	Q7L7L0	mult_mapping_expansion:binding/association
O95831	Q8IUE6	mult_mapping_expansion:binding/association
O95831	Q93077	mult_mapping_expansion:binding/association
O95831	Q96KK5	mult_mapping_expansion:binding/association
O95831	Q96QV6	mult_mapping_expansion:binding/association
O95831	Q99878	mult_mapping_expansion:binding/association
O95831	Q9BTM1	mult_mapping_expansion:binding/association
O95831	Q9P0M6	mult_mapping_expansion:binding/association
P01562	P15260	mult_mapping_expansion:activation
P01562	P17181	mult_mapping_expansion:activation
P01562	P38484	mult_mapping_expansion:activation
P01562	P48551	mult_mapping_expansion:activation
P01563	P15260	mult_mapping_expansion:activation
P01563	P17181	mult_mapping_expansion:activation
P01563	P38484	mult_mapping_expansion:activation
P01563	P48551	mult_mapping_expansion:activation
P01566	P15260	mult_mapping_expansion:activation
P01566	P17181	mult_mapping_expansion:activation
P01566	P38484	mult_mapping_expansion:activation
P01566	P48551	mult_mapping_expansion:activation
P01567	P15260	mult_mapping_expansion:activation
P01567	P17181	mult_mapping_expansion:activation
P01567	P38484	mult_mapping_expansion:activation
P01567	P48551	mult_mapping_expansion:activation
P01568	P15260	mult_mapping_expansion:activation
P01568	P17181	mult_mapping_expansion:activation
P01568	P38484	mult_mapping_expansion:activation
P01568	P48551	mult_mapping_expansion:activation
P01569	P15260	mult_mapping_expansion:activation
P01569	P17181	mult_mapping_expansion:activation
P01569	P38484	mult_mapping_expansion:activation
P01569	P48551	mult_mapping_expansion:activation
P01570	P15260	mult_mapping_expansion:activation
P01570	P17181	mult_mapping_expansion:activation
P01570	P38484	mult_mapping_expansion:activation
P01570	P48551	mult_mapping_expansion:activation
P01571	P15260	mult_mapping_expansion:activation
P01571	P17181	mult_mapping_expansion:activation
P01571	P38484	mult_mapping_expansion:activation
P01571	P48551	mult_mapping_expansion:activation
P01574	P15260	mult_mapping_expansion:activation
P01574	P17181	mult_mapping_expansion:activation
P01574	P38484	mult_mapping_expansion:activation
P01574	P48551	mult_mapping_expansion:activation
P01579	P15260	mult_mapping_expansion:activation
P01579	P17181	mult_mapping_expansion:activation
P01579	P38484	mult_mapping_expansion:activation
P01579	P48551	mult_mapping_expansion:activation
P04839	Q13554	mult_mapping_expansion:activation
P04839	Q13555	mult_mapping_expansion:activation
P04839	Q13557	mult_mapping_expansion:activation
P04839	Q9UQM7	mult_mapping_expansion:activation
P04908	O95831	mult_mapping_expansion:binding/association
P04908	P62937	mult_mapping_expansion:binding/association
P05013	P15260	mult_mapping_expansion:activation
P05013	P17181	mult_mapping_expansion:activation
P05013	P38484	mult_mapping_expansion:activation
P05013	P48551	mult_mapping_expansion:activation
P05014	P15260	mult_mapping_expansion:activation
P05014	P17181	mult_mapping_expansion:activation
P05014	P38484	mult_mapping_expansion:activation
