#node1	node2	edge_expansion:relation_type
A6NHX0	Q8WTX7	one_to_one_mapping:binding/association
O00144	O75197	mult_mapping_expansion:binding/association
O00144	O75581	mult_mapping_expansion:binding/association
O14640	P49841	mult_mapping_expansion:inhibition
O14641	P49841	mult_mapping_expansion:inhibition
O15530	P31749	mult_mapping_expansion:activation|phosphorylation
O15530	P31751	mult_mapping_expansion:activation|phosphorylation
O15530	Q9Y243	mult_mapping_expansion:activation|phosphorylation
O43156	Q9Y4R8	one_to_one_mapping:binding/association
O60353	O75197	mult_mapping_expansion:binding/association
O60353	O75581	mult_mapping_expansion:binding/association
O75084	O75197	mult_mapping_expansion:binding/association
O75084	O75581	mult_mapping_expansion:binding/association
O75140	Q5VZM2	mult_mapping_expansion:inhibition
O75140	Q7L523	mult_mapping_expansion:inhibition
O75197	O00144	mult_mapping_expansion:binding/association
O75197	O60353	mult_mapping_expansion:binding/association
O75197	O75084	mult_mapping_expansion:binding/association
O75197	Q13467	mult_mapping_expansion:binding/association
O75197	Q14332	mult_mapping_expansion:binding/association
O75197	Q9H461	mult_mapping_expansion:binding/association
O75197	Q9NPG1	mult_mapping_expansion:binding/association
O75197	Q9ULV1	mult_mapping_expansion:binding/association
O75197	Q9ULW2	mult_mapping_expansion:binding/association
O75197	Q9UP38	mult_mapping_expansion:binding/association
O75348	O43504	mult_mapping_expansion:activation
O75348	Q0VGL1	mult_mapping_expansion:activation
O75348	Q6IAA8	mult_mapping_expansion:activation
O75348	Q9UHA4	mult_mapping_expansion:activation
O75348	Q9Y2Q5	mult_mapping_expansion:activation
O75581	O00144	mult_mapping_expansion:binding/association
O75581	O60353	mult_mapping_expansion:binding/association
O75581	O75084	mult_mapping_expansion:binding/association
O75581	Q13467	mult_mapping_expansion:binding/association
O75581	Q14332	mult_mapping_expansion:binding/association
O75581	Q9H461	mult_mapping_expansion:binding/association
O75581	Q9NPG1	mult_mapping_expansion:binding/association
O75581	Q9ULV1	mult_mapping_expansion:binding/association
O75581	Q9ULW2	mult_mapping_expansion:binding/association
O75581	Q9UP38	mult_mapping_expansion:binding/association
O95670	O43504	mult_mapping_expansion:activation
O95670	Q0VGL1	mult_mapping_expansion:activation
O95670	Q6IAA8	mult_mapping_expansion:activation
O95670	Q9UHA4	mult_mapping_expansion:activation
O95670	Q9Y2Q5	mult_mapping_expansion:activation
P01111	P04049	mult_mapping_expansion:activation
P01111	P15056	mult_mapping_expansion:activation
P01112	P04049	mult_mapping_expansion:activation
P01112	P15056	mult_mapping_expansion:activation
P01116	P04049	mult_mapping_expansion:activation
P01116	P15056	mult_mapping_expansion:activation
P01308	P06213	mult_mapping_expansion:activation
P01308	P08069	mult_mapping_expansion:activation
P04049	P36507	mult_mapping_expansion:activation|phosphorylation
P04049	Q02750	mult_mapping_expansion:activation|phosphorylation
P05019	P06213	mult_mapping_expansion:activation
P05019	P08069	mult_mapping_expansion:activation
P06213	P35568	mult_mapping_expansion:activation
P06213	P62993	mult_mapping_expansion:activation
P08069	P35568	mult_mapping_expansion:activation
P08069	P62993	mult_mapping_expansion:activation
P08195	Q01650	one_to_one_mapping:binding/association
P15056	P36507	mult_mapping_expansion:activation|phosphorylation
P15056	Q02750	mult_mapping_expansion:activation|phosphorylation
P15313	O43504	mult_mapping_expansion:activation
P15313	Q0VGL1	mult_mapping_expansion:activation
P15313	Q6IAA8	mult_mapping_expansion:activation
P15313	Q9UHA4	mult_mapping_expansion:activation
P15313	Q9Y2Q5	mult_mapping_expansion:activation
P19438	O14920	one_to_one_mapping:activation
P21281	O43504	mult_mapping_expansion:activation
P21281	Q0VGL1	mult_mapping_expansion:activation
P21281	Q6IAA8	mult_mapping_expansion:activation
P21281	Q9UHA4	mult_mapping_expansion:activation
P21281	Q9Y2Q5	mult_mapping_expansion:activation
P21283	O43504	mult_mapping_expansion:activation
P21283	Q0VGL1	mult_mapping_expansion:activation
P21283	Q6IAA8	mult_mapping_expansion:activation
P21283	Q9UHA4	mult_mapping_expansion:activation
P21283	Q9Y2Q5	mult_mapping_expansion:activation
P23443	P23588	mult_mapping_expansion:activation|phosphorylation
P23443	P35568	mult_mapping_expansion:inhibition|phosphorylation
P23443	P62753	mult_mapping_expansion:activation|phosphorylation
P27361	P51812	mult_mapping_expansion:activation|phosphorylation
P27361	Q15349	mult_mapping_expansion:activation|phosphorylation
P27361	Q15418	mult_mapping_expansion:activation|phosphorylation
P27361	Q9UK32	mult_mapping_expansion:activation|phosphorylation
P28482	P51812	mult_mapping_expansion:activation|phosphorylation
P28482	Q15349	mult_mapping_expansion:activation|phosphorylation
P28482	Q15418	mult_mapping_expansion:activation|phosphorylation
P28482	Q9UK32	mult_mapping_expansion:activation|phosphorylation
P31749	O15111	mult_mapping_expansion:activation
P31751	O15111	mult_mapping_expansion:activation
P35568	O00329	mult_mapping_expansion:activation|phosphorylation
P35568	O00459	mult_mapping_expansion:activation|phosphorylation
P35568	P27986	mult_mapping_expansion:activation|phosphorylation
P35568	P42336	mult_mapping_expansion:activation|phosphorylation
P35568	P42338	mult_mapping_expansion:activation|phosphorylation
P35568	Q92569	mult_mapping_expansion:activation|phosphorylation
P36507	P27361	mult_mapping_expansion:activation|phosphorylation
P36507	P28482	mult_mapping_expansion:activation|phosphorylation
P36543	O43504	mult_mapping_expansion:activation
P36543	Q0VGL1	mult_mapping_expansion:activation
P36543	Q6IAA8	mult_mapping_expansion:activation
P36543	Q9UHA4	mult_mapping_expansion:activation
P36543	Q9Y2Q5	mult_mapping_expansion:activation
P38606	O43504	mult_mapping_expansion:activation
P38606	Q0VGL1	mult_mapping_expansion:activation
P38606	Q6IAA8	mult_mapping_expansion:activation
P38606	Q9UHA4	mult_mapping_expansion:activation
P38606	Q9Y2Q5	mult_mapping_expansion:activation
P42345	P05129	mult_mapping_expansion:activation|phosphorylation
P42345	P05771	mult_mapping_expansion:activation|phosphorylation
P42345	P17252	mult_mapping_expansion:activation|phosphorylation
P42345	P61586	one_to_one_mapping:activation|phosphorylation
P42345	Q13322	one_to_one_mapping:activation|phosphorylation
P55735	O75140	mult_mapping_expansion:inhibition
P55735	Q12980	mult_mapping_expansion:inhibition
P55735	Q8WTW4	mult_mapping_expansion:inhibition
P58004	P55735	mult_mapping_expansion:inhibition
P58004	Q6PJI9	mult_mapping_expansion:inhibition
P58004	Q96EE3	mult_mapping_expansion:inhibition
P58004	Q96S15	mult_mapping_expansion:inhibition
P58004	Q9NXC5	mult_mapping_expansion:inhibition
P62993	Q07889	mult_mapping_expansion:activation
P62993	Q07890	mult_mapping_expansion:activation
P85299	Q6R327	one_to_one_mapping:binding/association
Q01650	P08195	one_to_one_mapping:binding/association
Q02750	P27361	mult_mapping_expansion:activation|phosphorylation
Q02750	P28482	mult_mapping_expansion:activation|phosphorylation
Q07889	P01111	mult_mapping_expansion:activation
Q07889	P01112	mult_mapping_expansion:activation
Q07889	P01116	mult_mapping_expansion:activation
Q07890	P01111	mult_mapping_expansion:activation
Q07890	P01112	mult_mapping_expansion:activation
Q07890	P01116	mult_mapping_expansion:activation
Q12980	Q5VZM2	mult_mapping_expansion:inhibition
Q12980	Q7L523	mult_mapping_expansion:inhibition
Q13309	Q5VZM2	mult_mapping_expansion:inhibition|ubiquitination
Q13309	Q7L523	mult_mapping_expansion:inhibition|ubiquitination
Q13322	P06213	mult_mapping_expansion:inhibition
Q13322	P08069	mult_mapping_expansion:inhibition
Q13467	O75197	mult_mapping_expansion:binding/association
Q13467	O75581	mult_mapping_expansion:binding/association
Q13541	A6NMX2	mult_mapping_expansion:inhibition
Q13541	O60573	mult_mapping_expansion:inhibition
Q13541	P06730	mult_mapping_expansion:inhibition
Q14332	O75197	mult_mapping_expansion:binding/association
Q14332	O75581	mult_mapping_expansion:binding/association
Q15831	P54646	mult_mapping_expansion:activation|phosphorylation
Q15831	Q13131	mult_mapping_expansion:activation|phosphorylation
Q16864	O43504	mult_mapping_expansion:activation
Q16864	Q0VGL1	mult_mapping_expansion:activation
Q16864	Q6IAA8	mult_mapping_expansion:activation
Q16864	Q9UHA4	mult_mapping_expansion:activation
Q16864	Q9Y2Q5	mult_mapping_expansion:activation
Q5VZM2	Q9HB90	mult_mapping_expansion:binding/association
Q5VZM2	Q9NQL2	mult_mapping_expansion:binding/association
Q6PJI9	O75140	mult_mapping_expansion:inhibition
Q6PJI9	Q12980	mult_mapping_expansion:inhibition
Q6PJI9	Q8WTW4	mult_mapping_expansion:inhibition
Q6R327	P85299	one_to_one_mapping:binding/association
Q7L523	Q9HB90	mult_mapping_expansion:binding/association
Q7L523	Q9NQL2	mult_mapping_expansion:binding/association
Q8N8N0	Q5VZM2	mult_mapping_expansion:inhibition|ubiquitination
Q8N8N0	Q7L523	mult_mapping_expansion:inhibition|ubiquitination
Q8NBW4	O43504	mult_mapping_expansion:activation
Q8NBW4	Q0VGL1	mult_mapping_expansion:activation
Q8NBW4	Q6IAA8	mult_mapping_expansion:activation
Q8NBW4	Q9UHA4	mult_mapping_expansion:activation
Q8NBW4	Q9Y2Q5	mult_mapping_expansion:activation
Q8NEY4	O43504	mult_mapping_expansion:activation
Q8NEY4	Q0VGL1	mult_mapping_expansion:activation
Q8NEY4	Q6IAA8	mult_mapping_expansion:activation
Q8NEY4	Q9UHA4	mult_mapping_expansion:activation
Q8NEY4	Q9Y2Q5	mult_mapping_expansion:activation
Q8NFG4	Q8TF40	mult_mapping_expansion:binding/association
Q8NFG4	Q9P278	mult_mapping_expansion:binding/association
Q8TF40	Q8NFG4	mult_mapping_expansion:binding/association
Q8WTW4	Q5VZM2	mult_mapping_expansion:inhibition
Q8WTW4	Q7L523	mult_mapping_expansion:inhibition
Q8WTX7	A6NHX0	one_to_one_mapping:binding/association
Q92997	P49841	mult_mapping_expansion:inhibition
Q96A05	O43504	mult_mapping_expansion:activation
Q96A05	Q0VGL1	mult_mapping_expansion:activation
Q96A05	Q6IAA8	mult_mapping_expansion:activation
Q96A05	Q9UHA4	mult_mapping_expansion:activation
Q96A05	Q9Y2Q5	mult_mapping_expansion:activation
Q96B36	Q8N122	one_to_one_mapping:inhibition
Q96EE3	O75140	mult_mapping_expansion:inhibition
Q96EE3	Q12980	mult_mapping_expansion:inhibition
Q96EE3	Q8WTW4	mult_mapping_expansion:inhibition
Q96LB4	O43504	mult_mapping_expansion:activation
Q96LB4	Q0VGL1	mult_mapping_expansion:activation
Q96LB4	Q6IAA8	mult_mapping_expansion:activation
Q96LB4	Q9UHA4	mult_mapping_expansion:activation
Q96LB4	Q9Y2Q5	mult_mapping_expansion:activation
Q96S15	O75140	mult_mapping_expansion:inhibition
Q96S15	Q12980	mult_mapping_expansion:inhibition
Q96S15	Q8WTW4	mult_mapping_expansion:inhibition
Q9H461	O75197	mult_mapping_expansion:binding/association
Q9H461	O75581	mult_mapping_expansion:binding/association
Q9HB90	Q5VZM2	mult_mapping_expansion:binding/association
Q9HB90	Q7L523	mult_mapping_expansion:binding/association
Q9NPG1	O75197	mult_mapping_expansion:binding/association
Q9NPG1	O75581	mult_mapping_expansion:binding/association
Q9NQL2	Q5VZM2	mult_mapping_expansion:binding/association
Q9NQL2	Q7L523	mult_mapping_expansion:binding/association
Q9NXC5	O75140	mult_mapping_expansion:inhibition
Q9NXC5	Q12980	mult_mapping_expansion:inhibition
Q9NXC5	Q8WTW4	mult_mapping_expansion:inhibition
Q9P278	Q8NFG4	mult_mapping_expansion:binding/association
Q9UBS0	P23588	mult_mapping_expansion:activation|phosphorylation
Q9UBS0	P35568	mult_mapping_expansion:inhibition|phosphorylation
Q9UBS0	P62753	mult_mapping_expansion:activation|phosphorylation
Q9UI12	O43504	mult_mapping_expansion:activation
Q9UI12	Q0VGL1	mult_mapping_expansion:activation
Q9UI12	Q6IAA8	mult_mapping_expansion:activation
Q9UI12	Q9UHA4	mult_mapping_expansion:activation
Q9UI12	Q9Y2Q5	mult_mapping_expansion:activation
Q9ULV1	O75197	mult_mapping_expansion:binding/association
Q9ULV1	O75581	mult_mapping_expansion:binding/association
Q9ULW2	O75197	mult_mapping_expansion:binding/association
Q9ULW2	O75581	mult_mapping_expansion:binding/association
Q9UP38	O75197	mult_mapping_expansion:binding/association
Q9UP38	O75581	mult_mapping_expansion:binding/association
Q9Y243	O15111	mult_mapping_expansion:activation
Q9Y4R8	O43156	one_to_one_mapping:binding/association
Q9Y5K8	O43504	mult_mapping_expansion:activation
Q9Y5K8	Q0VGL1	mult_mapping_expansion:activation
Q9Y5K8	Q6IAA8	mult_mapping_expansion:activation
Q9Y5K8	Q9UHA4	mult_mapping_expansion:activation
Q9Y5K8	Q9Y2Q5	mult_mapping_expansion:activation
