#node1	node2	edge_expansion:relation_type
O00206	Q8IUC6	one_to_one_mapping:activation
O14920	P25963	mult_mapping_expansion:activation|phosphorylation
O14920	Q15653	mult_mapping_expansion:activation|phosphorylation
O14920	Q9Y6K9	mult_mapping_expansion:binding/association
O15111	P25963	mult_mapping_expansion:activation|phosphorylation
O15111	Q15653	mult_mapping_expansion:activation|phosphorylation
O15111	Q9Y6K9	mult_mapping_expansion:binding/association
O15264	P05412	mult_mapping_expansion:activation|phosphorylation
O15553	O43586	one_to_one_mapping:binding/association
O15553	Q9ULZ3	one_to_one_mapping:binding/association
O43318	O14920	mult_mapping_expansion:activation|phosphorylation
O43318	O15111	mult_mapping_expansion:activation|phosphorylation
O43318	O15264	mult_mapping_expansion:activation|phosphorylation
O43318	P27361	mult_mapping_expansion:activation|phosphorylation
O43318	P28482	mult_mapping_expansion:activation|phosphorylation
O43318	P45983	mult_mapping_expansion:activation|phosphorylation
O43318	P45984	mult_mapping_expansion:activation|phosphorylation
O43318	P53778	mult_mapping_expansion:activation|phosphorylation
O43318	P53779	mult_mapping_expansion:activation|phosphorylation
O43318	Q15750	mult_mapping_expansion:binding/association
O43318	Q15759	mult_mapping_expansion:activation|phosphorylation
O43318	Q16539	mult_mapping_expansion:activation|phosphorylation
O43318	Q8N5C8	mult_mapping_expansion:binding/association
O43318	Q9NYJ8	mult_mapping_expansion:binding/association
O43586	O15553	one_to_one_mapping:binding/association
O94817	O95166	mult_mapping_expansion:activation
O94817	P60520	mult_mapping_expansion:activation
O94817	Q9H0R8	mult_mapping_expansion:activation
O95140	Q7Z434	mult_mapping_expansion:binding/association
P01562	P17181	mult_mapping_expansion:activation
P01562	P48551	mult_mapping_expansion:activation
P01563	P17181	mult_mapping_expansion:activation
P01563	P48551	mult_mapping_expansion:activation
P01566	P17181	mult_mapping_expansion:activation
P01566	P48551	mult_mapping_expansion:activation
P01567	P17181	mult_mapping_expansion:activation
P01567	P48551	mult_mapping_expansion:activation
P01568	P17181	mult_mapping_expansion:activation
P01568	P48551	mult_mapping_expansion:activation
P01569	P17181	mult_mapping_expansion:activation
P01569	P48551	mult_mapping_expansion:activation
P01570	P17181	mult_mapping_expansion:activation
P01570	P48551	mult_mapping_expansion:activation
P01571	P17181	mult_mapping_expansion:activation
P01571	P48551	mult_mapping_expansion:activation
P01574	P17181	mult_mapping_expansion:activation
P01574	P48551	mult_mapping_expansion:activation
P04839	P13498	one_to_one_mapping:binding/association
P05013	P17181	mult_mapping_expansion:activation
P05013	P48551	mult_mapping_expansion:activation
P05014	P17181	mult_mapping_expansion:activation
P05014	P48551	mult_mapping_expansion:activation
P05015	P17181	mult_mapping_expansion:activation
P05015	P48551	mult_mapping_expansion:activation
P05412	P01584	one_to_one_mapping:activation
P07900	Q9Y2Z0	mult_mapping_expansion:binding/association
P08238	Q9Y2Z0	mult_mapping_expansion:binding/association
P10599	Q9H3M7	mult_mapping_expansion:binding/association
P13498	P04839	one_to_one_mapping:binding/association
P17181	P23458	mult_mapping_expansion:activation
P17181	P29597	mult_mapping_expansion:activation
P19838	P01375	mult_mapping_expansion:activation
P19838	P01562	mult_mapping_expansion:activation
P19838	P01563	mult_mapping_expansion:activation
P19838	P01566	mult_mapping_expansion:activation
P19838	P01567	mult_mapping_expansion:activation
P19838	P01568	mult_mapping_expansion:activation
P19838	P01569	mult_mapping_expansion:activation
P19838	P01570	mult_mapping_expansion:activation
P19838	P01571	mult_mapping_expansion:activation
P19838	P01574	mult_mapping_expansion:activation
P19838	P01584	mult_mapping_expansion:activation
P19838	P05013	mult_mapping_expansion:activation
P19838	P05014	mult_mapping_expansion:activation
P19838	P05015	mult_mapping_expansion:activation
P19838	P05231	mult_mapping_expansion:activation
P19838	P09341	mult_mapping_expansion:activation
P19838	P10145	mult_mapping_expansion:activation
P19838	P13500	mult_mapping_expansion:activation
P19838	P13501	mult_mapping_expansion:activation
P19838	P19875	mult_mapping_expansion:activation
P19838	P19876	mult_mapping_expansion:activation
P19838	P25963	mult_mapping_expansion:dissociation
P19838	P32881	mult_mapping_expansion:activation
P19838	P49913	mult_mapping_expansion:activation
P19838	Q14116	mult_mapping_expansion:activation
P19838	Q15653	mult_mapping_expansion:dissociation
P19838	Q96P20	mult_mapping_expansion:activation
P23458	P29597	one_to_one_mapping:binding/association
P23458	P42224	mult_mapping_expansion:activation
P23458	P52630	mult_mapping_expansion:activation
P25963	P19838	mult_mapping_expansion:activation|dissociation|mult_mapping_expansion:dissociation
P25963	Q04206	mult_mapping_expansion:activation|dissociation|mult_mapping_expansion:dissociation
P27361	P05412	mult_mapping_expansion:activation|phosphorylation
P28482	P05412	mult_mapping_expansion:activation|phosphorylation
P29466	P01584	one_to_one_mapping:activation
P29466	Q9ULZ3	one_to_one_mapping:binding/association
P29597	P23458	one_to_one_mapping:binding/association
P32881	P17181	mult_mapping_expansion:activation
P32881	P48551	mult_mapping_expansion:activation
P41180	Q00722	mult_mapping_expansion:activation
P41180	Q01970	mult_mapping_expansion:activation
P41180	Q15147	mult_mapping_expansion:activation
P41180	Q9NQ66	mult_mapping_expansion:activation
P42224	Q00978	mult_mapping_expansion:binding/association
P45983	P05412	mult_mapping_expansion:activation|phosphorylation
P45984	P05412	mult_mapping_expansion:activation|phosphorylation
P48551	P23458	mult_mapping_expansion:activation
P48551	P29597	mult_mapping_expansion:activation
P51878	P57764	one_to_one_mapping:activation
P52630	Q00978	mult_mapping_expansion:binding/association
P53778	P05412	mult_mapping_expansion:activation|phosphorylation
P53779	P05412	mult_mapping_expansion:activation|phosphorylation
P59044	Q9ULZ3	one_to_one_mapping:binding/association
P59046	P19838	mult_mapping_expansion:inhibition
P59046	Q04206	mult_mapping_expansion:inhibition
P59046	Q9ULZ3	one_to_one_mapping:binding/association
P61586	Q16512	mult_mapping_expansion:activation
P61586	Q16513	mult_mapping_expansion:activation
