#node1	node2	edge_expansion:relation_type
O95395	Q6ZMB0	one_to_one_mapping:compound
P0DN25	O95395	mult_mapping_expansion:compound
P0DN25	Q02742	mult_mapping_expansion:compound
Q02742	Q9NSC7	one_to_one_mapping:compound
Q10471	P0DN25	mult_mapping_expansion:compound
Q10471	Q96EU7	mult_mapping_expansion:compound
Q10471	Q9NS00	mult_mapping_expansion:compound
Q10472	P0DN25	mult_mapping_expansion:compound
Q10472	Q96EU7	mult_mapping_expansion:compound
Q10472	Q9NS00	mult_mapping_expansion:compound
Q11201	O95395	mult_mapping_expansion:compound
Q11201	P0DN25	mult_mapping_expansion:compound
Q11201	Q02742	mult_mapping_expansion:compound
Q11201	Q96EU7	mult_mapping_expansion:compound
Q11201	Q9NS00	mult_mapping_expansion:compound
Q14435	P0DN25	mult_mapping_expansion:compound
Q14435	Q96EU7	mult_mapping_expansion:compound
Q14435	Q9NS00	mult_mapping_expansion:compound
Q16842	O95395	mult_mapping_expansion:compound
Q16842	P0DN25	mult_mapping_expansion:compound
Q16842	Q02742	mult_mapping_expansion:compound
Q16842	Q96EU7	mult_mapping_expansion:compound
Q16842	Q9NS00	mult_mapping_expansion:compound
Q49A17	P0DN25	mult_mapping_expansion:compound
Q49A17	Q96EU7	mult_mapping_expansion:compound
Q49A17	Q9NS00	mult_mapping_expansion:compound
Q6IS24	P0DN25	mult_mapping_expansion:compound
Q6IS24	Q96EU7	mult_mapping_expansion:compound
Q6IS24	Q9NS00	mult_mapping_expansion:compound
Q6P9A2	P0DN25	mult_mapping_expansion:compound
Q6P9A2	Q96EU7	mult_mapping_expansion:compound
Q6P9A2	Q9NS00	mult_mapping_expansion:compound
Q7Z4T8	P0DN25	mult_mapping_expansion:compound
Q7Z4T8	Q96EU7	mult_mapping_expansion:compound
Q7Z4T8	Q9NS00	mult_mapping_expansion:compound
Q7Z7M9	P0DN25	mult_mapping_expansion:compound
Q7Z7M9	Q96EU7	mult_mapping_expansion:compound
Q7Z7M9	Q9NS00	mult_mapping_expansion:compound
Q86SF2	P0DN25	mult_mapping_expansion:compound
Q86SF2	Q96EU7	mult_mapping_expansion:compound
Q86SF2	Q9NS00	mult_mapping_expansion:compound
Q86SR1	P0DN25	mult_mapping_expansion:compound
Q86SR1	Q96EU7	mult_mapping_expansion:compound
Q86SR1	Q9NS00	mult_mapping_expansion:compound
Q8IUC8	P0DN25	mult_mapping_expansion:compound
Q8IUC8	Q96EU7	mult_mapping_expansion:compound
Q8IUC8	Q9NS00	mult_mapping_expansion:compound
Q8IXK2	P0DN25	mult_mapping_expansion:compound
Q8IXK2	Q96EU7	mult_mapping_expansion:compound
Q8IXK2	Q9NS00	mult_mapping_expansion:compound
Q8N3T1	P0DN25	mult_mapping_expansion:compound
Q8N3T1	Q96EU7	mult_mapping_expansion:compound
Q8N3T1	Q9NS00	mult_mapping_expansion:compound
Q8N428	P0DN25	mult_mapping_expansion:compound
Q8N428	Q96EU7	mult_mapping_expansion:compound
Q8N428	Q9NS00	mult_mapping_expansion:compound
Q8N4A0	P0DN25	mult_mapping_expansion:compound
Q8N4A0	Q96EU7	mult_mapping_expansion:compound
Q8N4A0	Q9NS00	mult_mapping_expansion:compound
Q8NCL4	P0DN25	mult_mapping_expansion:compound
Q8NCL4	Q96EU7	mult_mapping_expansion:compound
Q8NCL4	Q9NS00	mult_mapping_expansion:compound
Q8NCW6	P0DN25	mult_mapping_expansion:compound
Q8NCW6	Q96EU7	mult_mapping_expansion:compound
Q8NCW6	Q9NS00	mult_mapping_expansion:compound
Q96EU7	O95395	mult_mapping_expansion:compound
Q96EU7	Q02742	mult_mapping_expansion:compound
Q96FL9	P0DN25	mult_mapping_expansion:compound
Q96FL9	Q96EU7	mult_mapping_expansion:compound
Q96FL9	Q9NS00	mult_mapping_expansion:compound
Q9HCQ5	P0DN25	mult_mapping_expansion:compound
Q9HCQ5	Q96EU7	mult_mapping_expansion:compound
Q9HCQ5	Q9NS00	mult_mapping_expansion:compound
Q9NS00	O95395	mult_mapping_expansion:compound
Q9NS00	Q02742	mult_mapping_expansion:compound
Q9NSC7	Q11201	mult_mapping_expansion:compound
Q9NSC7	Q16842	mult_mapping_expansion:compound
Q9NY28	P0DN25	mult_mapping_expansion:compound
Q9NY28	Q96EU7	mult_mapping_expansion:compound
Q9NY28	Q9NS00	mult_mapping_expansion:compound
