#tail	head
DAB1	MAP3K11
INS	DDX17
INS	CTSC
INS	BAIAP2L1
INS	SSTR1
INS	WDR54
INS	GYG2
INS	RBBP4
INS	JUN
INS	KIFAP3
TRBV12-3	CD3E
TRBV12-3	CSK
TRBV12-3	HLA-DRB5
OSCP1	XPO1
OSCP1	GYG2
OSCP1	WDR54
CST7	CTSC
CST7	JUN
BAIAP2L1	IQSEC2
BAIAP2L1	SGTB
WDR54	XPO1
WDR54	GYG2
MAP3K11	KIFAP3
SSTR1	PRMT5
PRKACA	XPO1
PRKACA	JUN
PRKACA	CARM1
PRKACA	CSK
RBBP4	PRMT5
RBBP4	DDX17
RBBP4	JUN
CSK	HLA-DRB5
CSK	CD3E
CSK	JUN
CD3E	JUN
CD3E	HLA-DRB5
PRMT5	JUN
XPO1	DDX17
XPO1	JUN
XPO1	IQSEC2
DDX17	CUL2
DDX17	JUN
CARM1	CUL2
JUN	SGTB
JUN	KIFAP3
KIFAP3	HLA-DRB5
HLA-DRB5	CTSC
