#tail	head
TRH	GNB3
GNAS	SEH1L
GNAS	VIPR1
GNB3	EGFR
GNB3	EREG
GNB3	PTAFR
GNB3	NRG1
GNB3	AVPR2
GNB3	IGHV2-70
GNB3	CD3G
IGLV6-57	IGLC3
IGLV6-57	EREG
PRL	AVPR2
AREG	CLTCL1
AREG	INPP4A
AREG	UBC
AREG	PIK3R1
SEH1L	CLTB
CLTB	LDLR
CSNK1A1	CLTC
CSNK1A1	CD3G
CSNK1A1	EGFR
IGLC3	EREG
IGLC3	NRG1
PIK3R1	AVPR2
PIK3R1	UBC
PIK3R1	NRG1
SAV1	EGLN3
CD3G	INPP4A
CLTCL1	CLTC
CLTCL1	UBC
EGLN3	UBC
AVPR2	UBC
BCOR	ZIC1
PDGFRA	IGHV2-70
INPP4A	CLTC
INPP4A	UBC
INPP4A	EREG
EREG	IGHV2-70
UBC	CLTC
LDLR	CLTC
LDLR	MAP4
IGHV2-70	EGFR
