#tail	head
UGT2B17	CES2
CES2	GDPD5
GDPD5	GPD2
NIN	AKT2
NIN	DYNC1I2
RRM1	ALG13
RRM1	SLC4A9
SMAD5	ACVRL1
SMAD5	LEFTY1
SMAD5	AKT2
AKT2	BAG4
AKT2	IGLV3-27
AKT2	PPP2R5C
AKT2	MKRN1
ACVRL1	LEFTY1
SH3KBP1	RBM4
SH3KBP1	PPP2CB
SH3KBP1	IGLV3-27
SH3KBP1	BAG4
AMPD2	GPD2
AMPD2	MKRN1
AMPD2	LEFTY1
DYNC1I2	CENPH
DYNC1I2	SPC25
DYNC1I2	PPP2R5C
RSC1A1	DDI1
RSC1A1	SLC4A9
PPP2R5C	CENPH
PPP2R5C	PPP2CB
PPP2CB	CENPH
PPP2CB	PSMB3
PPP2CB	SPC25
BAG4	IGLV3-27
BAG4	ALG13
PYCR3	IDH2
PYCR3	PSMB3
PYCR3	GPD2
CETN3	SASS6
CETN3	ADCYAP1
CETN3	DDI1
IDH2	LEFTY1
IDH2	GPD2
