#tail	head
ACKR4	CCL11
RAF1	F8
RAF1	CDK6
RAF1	FGA
RAF1	MAP2K1
RAF1	RAP1B
RAF1	PRKACA
CUL7	SYNE2
CUL7	TBL3
CUL7	CAPZB
CUL7	MAZ
CUL7	XRN2
CUL7	APP
CUL7	NOL7
CUL7	WDR43
CUL7	JUP
FGA	RAP1B
FGA	MAP2K1
FGA	FAM20A
MAP2K1	JUP
MAP2K1	RAP1B
CAPZB	APP
CAPZB	HIST1H2BH
CAPZB	JUP
F10	OR1D2
F10	F8
PRKACA	TGM2
PRKACA	CDK11B
PRKACA	RAB11A
PRKACA	ZEB1
PRKACA	APP
PRKACA	RAP1B
PRKACA	MAZ
F8	OR1D2
MAZ	JUP
MAZ	FAM20A
MAZ	SYNE2
MAZ	ZEB1
MAZ	GPR137B
MAZ	XRN2
MAZ	CDK6
EXOC7	DISC1
EXOC7	RAB11A
CCL11	OR1D2
CDK11B	TGM2
APP	ZEB1
APP	TGM2
APP	MSLN
APP	FAM20A
APP	RD3
APP	NOL7
APP	RAP1B
APP	GPR137B
GHRH	RAP1B
GHRH	DISC1
XRN2	TBL3
XRN2	WDR43
XRN2	DISC1
RAP1B	RD3
DISC1	SYNE2
MSLN	FAM20A
TBL3	WDR43
SYNE2	HIST1H2BH
ZEB1	JUP
ZEB1	CDK6
HIST1H3F	HIST1H2BH
HIST1H3F	TGM2
WDR43	NOL7
NOL7	HIST1H2BH
