#tail	head
RAB33A	CHM
PTH1R	PRRX2
PTH1R	ATP11C
MID2	HTT
MID2	TRIM27
MID2	USP2
ATP11C	PHKG2
ATP11C	PCK1
ATP11C	NUDT11
UBE2L3	USP2
UBE2L3	OGA
UBE2L3	ARIH2
UBE2L3	TRIM25
COG6	ZFC3H1
COG6	TRAPPC13
BRIX1	TRIM25
BRIX1	OGA
BRIX1	SGTB
ACP7	PCK1
ACP7	PHKG2
TRIP13	TRIM25
TRIP13	PRKAA2
TRIP13	OGA
TRIP13	MAD2L2
CHM	TRAPPC13
SGTB	SOD3
SOD3	HTT
PSMB7	PPP2R1A
PSMB7	PCK1
PSMB7	TRIM25
PSMB7	HTT
OGA	RTRAF
OGA	PPP2R1A
OGA	EHBP1
OGA	TRIM25
EHBP1	TRIM25
EHBP1	EHD2
ZFC3H1	HTT
ZFC3H1	TRIM27
PRKAA2	RTRAF
PRKAA2	HTT
EHD2	PPP2R1A
ATP1A3	SLC12A1
ATP1A3	PCK1
ATP1A3	KCNS1
ATP1A3	PHKG2
NUDT11	PHKG2
NUDT11	PCK1
NUDT11	MAD2L2
PRRX2	KCNS1
USP2	TRIM27
MAD2L2	TRIM25
MAD2L2	TRIM27
SLC12A1	KCNS1
PHKG2	PCK1
TRIM25	RTRAF
TRIM25	PPP2R1A
PPP2R1A	ARIH2
ARIH2	TRIM27
