#tail	head
ABRAXAS1	RNF4
HIST2H2AA4	BCL2
HIST2H2AA4	GEMIN5
DLAT	ACSM6
DLAT	ACOT9
DLAT	DBT
DLAT	PLA2G2A
RNF4	RETREG3
RNF4	RNPS1
RNF4	GATA3
ZBTB14	RNPS1
ZBTB14	ZADH2
ZBTB14	ELAVL1
TRAF3IP1	PHGDH
OSBPL8	SORBS1
OSBPL8	PLA2G2A
BNIP1	RETREG3
BNIP1	BCL2
GEMIN5	RPN1
GEMIN5	SORBS1
GEMIN5	PHGDH
GEMIN5	RNPS1
RNPS1	MAGI2
RNPS1	ELAVL1
ELAVL1	SNX6
ELAVL1	CALM3
ELAVL1	ZADH2
ELAVL1	SORBS1
ELAVL1	PPIH
ELAVL1	RETREG3
ELAVL1	PHGDH
PSMC5	RPN1
PSMC5	SORBS1
PSMC5	PSMA3
PSMC5	PSMC1
PSMC1	RPN1
PSMC1	PSMA3
ACOT9	DBT
C19orf70	TMEM11
DBT	ACSM4
CALM3	SNX6
