#tail	head
DEK	HIST1H3B
CDK8	SRGAP1
CDK8	SMARCC1
FGFR3	PIP5K1B
FGFR3	ERBB4
FGFR3	PRKCD
ADRB2	PIP5K1B
ADRB2	GNB3
GNB3	POU2F1
GNB3	PIP5K1B
GNB3	TAS1R2
GNB3	GFI1
GNB3	PRKCD
GNB3	ERBB4
HIST1H3B	PRKCD
HIST1H3B	TRIM24
TRIM24	VAV1
TRIM24	ERBB4
NDC80	VPS52
NDC80	ZWILCH
COL1A1	PAX4
UBE2A	U2AF2
UBE2A	PAX4
UBE2A	ZWILCH
IGHV3-9	PRKCD
IGHV3-9	ERBB4
RUNX1T1	POU2F1
RUNX1T1	VPS52
ADA	PAX4
ADA	ATXN7L3
PRKCD	VAV1
PRKCD	ERBB4
VAV1	PIP5K1B
VAV1	ERBB4
PIP5K1B	PAX4
PIP5K1B	ERBB4
FAS	U2AF2
CREB5	GTF2H4
PTGDS	PAX4
PTGDS	POU2F1
ERBB4	POU2F1
POU2F1	TAS1R2
