#tail	head
PSME3	BBS2
ARPC1A	NAPG
CCDC88B	FAM161B
HNRNPU	NFKBIA
HNRNPU	RNF146
HNRNPU	HIST1H3B
HNRNPU	HNRNPD
HNRNPU	CEP76
BBS2	FLOT1
HIST1H3B	PCNA
HIST1H3B	SRC
HIST1H3B	FLOT1
HIST1H3B	SMYD2
VAPB	STX1B
TMOD1	NAPG
SRFBP1	SRF
SRC	NAPG
SRC	KPNA3
SRC	PCNA
SRC	NFKBIA
MAX	HOXB7
MAX	SP1
MAX	HOXA9
MAX	NUTF2
HNRNPD	NAPG
PBX2	NUTF2
PBX2	PCNA
PBX2	SHMT2
SMYD2	RADIL
KPNA3	NAPG
KPNA3	NFKBIA
KPNA3	NUTF2
SP1	NFKBIA
SP1	HOXA9
SP1	NUTF2
NFKBIA	HOXA9
IVNS1ABP	SHMT2
CEP76	RADIL
FLOT1	NAPG
FLOT1	PCNA
HOXB7	HOXA9
PCNA	NAPG
