#tail	head
DNER	DTX2
RIC1	HIST1H4L
RIC1	SYS1
KLK3	HIST3H2BB
KLK3	IFNA1
KLK3	CASP8
KLK3	SRC
DTX2	SEC23B
DTX2	ZNF85
IFNA1	EPSTI1
SEC23B	MARCKS
SEC23B	SUGP1
SEC23B	TRIM28
SEC23B	SRC
SEC23B	SF1
SEC23B	EPSTI1
HNRNPH1	SF1
HNRNPH1	SUGP1
ZNF85	TRIM28
STAT5A	SRC
STAT5A	MARCKS
SF1	TRIM28
SF1	HIST1H4L
SF1	SRC
SF1	SUGP1
SF1	U2AF1L4
SF1	TUBB4A
SRC	MAPT
NR4A1	CASP8
NR4A1	NFATC2
SDCBP	SSNA1
EPSTI1	CASP8
NFATC2	TLK2
BRSK1	SP3
BRSK1	MAPT
SSNA1	TUBB4A
RBBP7	HIST1H4L
CASP8	TRIM28
ZNF417	TRIM28
XPO7	TLK2
HIST1H4L	HIST3H2BB
