#tail	head
MSI2	CTSB
STIM1	PRKCB
STIM1	RUNX1T1
STIM1	INS
STIM1	MYOD1
STIM1	TSPOAP1
INS	STARD5
INS	EEF1A1
INS	PARP3
SEC23B	SGF29
SEC23B	EEF1A1
SEC23B	SORBS1
SEC23B	NUDC
SEC23B	LDHA
P2RX6	PRKCB
RPL3	PPP2R1A
MORC3	NRF1
TAL2	CBFA2T2
POU3F1	CNOT1
POU3F1	ESRRG
PSMB5	FBXO7
PSMB5	LDHA
RUNX1T1	MYOD1
RUNX1T1	NRF1
BTRC	NUDC
BTRC	PPP2R1A
LDHA	SGF29
LDHA	SORBS1
CBFA2T2	MYOD1
TSPOAP1	KHDRBS1
EEF1A1	SGF29
EEF1A1	MYOD1
EEF1A1	PRKN
EEF1A1	SORBS1
SGF29	PPP2R1A
SGF29	SORBS1
NUDC	SORBS1
NUDC	PPP2R1A
KHDRBS1	SORBS1
SORBS1	PPP2R1A
PPP3CB	MYOD1
